Generation,BestRecord,GenBestRecord,Average
1,-0.002498018,0,-196.688
2,697.4401,697.4401,-8.244109
3,759.4421,759.4421,30.13865
4,770.4166,770.4166,171.9446
5,901.2831,901.2831,273.0745
6,952.2326,952.2326,158.0092
7,952.2326,952.2326,198.1433
8,952.2326,952.2326,336.4092
9,1206.084,1206.084,282.6971
10,1307.081,1307.081,317.0103
11,1407.857,1407.857,280.5426
12,1499.383,1499.383,365.9246
13,1499.384,1499.384,217.5531
14,1499.384,1499.384,276.957
15,1499.384,1499.384,365.2873
16,1499.384,1499.384,330.8018
17,1538.377,1538.377,377.4145
18,1538.89,1538.89,353.7631
19,1540.205,1540.205,394.0334
20,1544.95,1544.95,359.2817
21,1751.206,1751.206,493.6379
22,1834.285,1834.285,358.6855
23,1939.124,1939.124,303.8285
24,1939.124,1851.959,224.4755
25,1939.124,1855.945,199.4994
26,1939.124,1855.945,272.7123
27,1939.124,1855.945,170.3676
28,1939.124,1855.945,288.037
29,1939.124,1867.234,281.65
30,1939.124,1867.234,243.3669
31,1939.124,1867.234,350.4398
32,1939.124,1893.047,265.2123
33,1939.124,1908.808,220.151
34,1939.124,1908.808,185.4197
35,1939.124,1908.808,213.4946
36,1939.124,1908.808,176.957
37,1939.124,1908.808,201.1092
38,2032.736,2032.736,218.9213
39,2032.736,2031.354,146.6822
40,2032.736,2031.354,115.7666
41,2032.736,2031.354,115.4866
42,2032.736,2031.354,240.3743
43,2032.736,2031.354,137.6938
44,2032.736,2031.354,169.1234
45,2032.736,2031.354,138.6148
46,2032.736,2031.354,141.552
47,2032.736,2031.354,235.7857
48,2032.736,2031.354,168.4816
49,2032.736,2031.354,170.9496
50,2032.736,2031.354,178.205
51,2094.551,2094.551,194.4187
52,2094.551,2087.204,199.5986
53,2094.551,2087.204,128.0362
54,2094.551,2087.204,179.5449
55,2094.551,2087.204,175.9309
56,2094.551,2087.204,117.0624
57,2094.551,2087.204,148.9218
58,2094.551,2087.204,116.0524
59,2094.551,2087.204,207.2556
60,2094.551,2087.204,160.3897
61,2094.551,2087.204,159.3609
62,2094.551,2087.204,165.2398
63,2094.551,2087.204,143.7791
64,2094.551,2087.204,204.5535
65,2094.551,2087.204,119.0646
66,2094.551,2087.204,131.976
67,2094.551,2087.204,132.5019
68,2094.551,2087.204,108.9357
69,2094.551,2087.204,205.6514
70,2094.551,2087.204,182.3439
71,2094.551,2087.204,138.5698
72,2094.551,2087.204,99.68756
73,2094.551,2087.204,168.6586
74,2094.551,2087.204,155.4534
75,2094.551,2087.204,106.378
76,2115.205,2115.205,139.0765
77,2116.955,2116.955,121.8779
78,2116.955,2116.955,167.0255
79,2116.955,2116.955,179.8872
80,2116.955,2116.955,107.1588
81,2116.955,2116.955,149.9711
82,2116.955,2116.955,130.9512
83,2116.955,2116.955,111.7568
84,2116.955,2116.955,198.8019
85,2116.955,2116.955,117.7657
86,2116.955,2116.955,168.8406
87,2116.955,2116.955,141.416
88,2116.955,2116.955,122.3179
89,2116.955,2116.955,164.5007
90,2116.955,2116.955,99.50842
91,2116.955,2116.955,120.8711
92,2116.955,2116.955,122.1605
93,2116.955,2116.955,101.5482
94,2116.955,2116.955,168.5922
95,2116.955,2116.955,234.3622
96,2116.955,2116.955,150.5815
97,2119.277,2119.277,111.0339
98,2119.277,2117.2,162.6871
99,2119.277,2119.277,112.4157
100,2119.277,2117.2,175.0487
