Generation,BestRecord,GenBestRecord,Average
1,-0.003433755,0,-199.5535
2,-0.003052727,-0.003052727,-49.40757
3,-0.003036419,-0.003036419,-117.8009
4,-0.00281897,-0.00281897,-45.60992
5,-0.00279605,-0.00279605,-0.02760286
6,-0.002774054,-0.002774054,-19.02054
7,-0.002767412,-0.002767412,-57.03271
8,-0.002756529,-0.002756529,-68.42572
9,-0.0027559,-0.0027559,-11.49882
10,-0.002677874,-0.002677874,-7.634304
11,-0.002546458,-0.002546458,-3.820438
12,-0.002513125,-0.002513125,-0.02008129
13,-0.00249481,-0.00249481,-3.81745
14,-0.002470386,-0.002470386,-3.819277
15,-0.002433748,-0.002433748,-0.02311005
16,-0.002430928,-0.002430928,-0.02554185
17,-0.002430928,-0.002430928,-0.02114347
18,-0.002430928,-0.002430928,-0.02118702
19,-0.002430928,-0.002430928,-0.02188283
20,-0.002430928,-0.002430928,-0.02277008
21,-0.002430928,-0.002430928,-0.02223493
22,-0.002430928,-0.002430928,-7.612082
23,-0.002430928,-0.002430928,-0.02890273
24,-0.002430928,-0.002430928,-0.02487448
25,-0.002430928,-0.002430928,-0.01600796
26,-0.002430928,-0.002430928,-3.823129
27,-0.002420153,-0.002420153,-0.02084832
28,-0.002420153,-0.002420153,-0.02570175
29,-0.002303282,-0.002303282,-0.03005578
30,-0.002303282,-0.002303282,-0.02405566
31,-0.002303282,-0.002303282,-0.02573033
32,-0.002303282,-0.002303282,-0.02037865
33,-0.002303282,-0.002303282,-3.825078
34,-0.002303282,-0.002303282,-0.02641489
35,-0.002303282,-0.002303282,-0.02197054
36,-0.002303282,-0.002303282,-3.835282
37,-0.002303282,-0.002303282,-0.02961261
38,-0.002303282,-0.002303282,-0.0219202
39,-0.002303282,-0.002303282,-3.828642
