Generation,BestRecord,GenBestRecord,Average
1,-0.006825486,0,-198.5666
2,-0.005392494,-0.005392494,-7.634094
3,-0.004362468,-0.004362468,-15.22472
4,-0.003161608,-0.003161608,-7.619439
5,-0.003135914,-0.003135914,-26.6062
6,-0.00310702,-0.00310702,-22.81874
7,-0.002873423,-0.002873423,-76.00405
8,-0.002855862,-0.002855862,-30.40676
9,-0.002836816,-0.002836816,-87.39044
10,-0.001242105,-0.001242105,-45.5895
11,890.5683,890.5683,26.99441
12,981.2015,981.2015,62.57737
13,1269.204,1269.204,46.72902
14,1474.385,1474.385,67.5116
15,1474.385,1474.385,126.6736
16,1754.15,1754.15,178.8138
17,1754.15,1754.15,233.4839
18,1769.956,1769.956,223.0165
19,1802.266,1802.266,122.9072
20,1802.266,1802.266,179.3214
21,1812.931,1812.931,160.5667
22,1900.908,1900.908,160.3842
23,1900.908,1900.908,172.8982
24,1900.908,1900.908,117.1443
25,1900.908,1900.908,200.8228
26,1900.908,1900.908,147.5789
27,1900.908,1900.908,71.2523
28,1988.87,1988.87,144.8095
29,1988.87,1988.87,255.0863
30,1988.87,1988.87,172.9967
31,1988.87,1988.87,101.7696
32,1988.87,1988.87,119.8241
33,1988.87,1988.87,112.1435
34,1988.87,1988.87,175.4775
35,1988.87,1988.87,210.9994
36,1988.87,1988.87,149.1471
37,1988.87,1988.87,108.5576
38,1988.87,1988.87,139.8561
39,1988.87,1988.87,83.66391
40,1988.87,1988.87,116.9102
41,1988.87,1988.87,120.9225
42,1988.87,1988.87,139.2693
43,1988.87,1988.87,170.1145
44,1988.87,1988.87,143.5087
45,1988.87,1988.87,205.541
46,1988.87,1988.87,62.75776
47,1988.87,1988.87,177.1472
48,1988.87,1988.87,148.0014
49,1988.87,1988.87,114.3622
50,1988.87,1988.87,78.1254
51,1988.87,1988.87,29.45933
52,1988.87,1988.87,119.2075
53,1988.87,1988.87,74.55459
54,1988.87,1988.87,122.2905
55,1988.87,1988.87,108.045
56,1988.87,1988.87,213.1422
57,1988.87,1988.87,61.34259
58,1988.87,1988.87,90.52797
59,1988.87,1988.87,146.0389
60,1998.97,1998.97,187.5574
61,1998.97,1998.97,172.3129
62,1998.97,1998.97,31.91965
63,1998.97,1998.97,72.31933
64,1998.97,1998.97,32.43162
65,1998.97,1998.97,59.08006
66,1998.97,1998.97,60.58528
67,1998.97,1998.97,122.8434
68,1998.97,1998.97,100.4504
69,1998.97,1998.97,67.64215
70,1998.97,1998.97,90.30336
71,1998.97,1998.97,56.69066
72,1998.97,1998.97,147.8262
73,1998.97,1998.97,42.38765
74,1998.97,1998.97,49.98408
75,1998.97,1998.97,122.423
76,2010.694,2010.694,107.4963
77,2010.694,2010.694,83.29286
78,2010.694,2010.694,110.2075
79,2010.694,2010.694,20.13755
80,2010.694,2010.694,124.3067
81,2010.694,2010.694,45.13353
82,2010.694,2010.694,101.8658
83,2010.694,2010.694,53.79222
84,2010.694,2010.694,62.92472
85,2010.694,2010.694,47.05879
86,2010.694,2010.694,17.17028
87,2010.694,2010.694,137.414
88,2010.694,2010.694,153.8562
89,2010.694,2010.694,120.8816
90,2010.694,2010.694,67.10191
91,2010.694,2010.694,139.4159
92,2010.694,2010.694,45.89712
93,2010.694,2010.694,54.2474
94,2010.694,2010.694,119.5419
95,2010.694,2010.694,94.46592
96,2010.694,2010.694,141.9431
97,2010.694,2010.694,118.0191
98,2010.694,2010.694,85.84033
99,2010.694,2010.694,124.1685
100,2046.132,2046.132,54.82158
101,2046.132,2046.132,55.51435
102,2066.397,2066.397,442.17
103,2066.397,2065.693,338.3447
104,2066.397,2065.81,180.0594
105,2066.397,2065.81,322.8772
106,2074.621,2074.621,333.1773
107,2074.621,2074.621,310.6306
108,2074.621,2074.621,253.086
109,2074.621,2074.621,271.7444
110,2078.904,2078.904,221.8517
111,2078.904,2078.904,231.9883
112,2078.904,2078.904,259.8473
113,2078.904,2078.904,305.2626
114,2078.904,2078.904,246.4158
115,2087.45,2087.45,287.393
116,2087.747,2087.747,145.9352
117,2087.747,2087.747,152.6863
118,2087.747,2087.747,106.0973
119,2087.747,2087.747,148.3839
120,2087.747,2087.747,130.5899
