Generation,BestRecord,GenBestRecord,Average
1,909.4463,909.4463,-188.2946
2,1019.376,1019.376,6.288684
3,1244.622,1244.622,104.127
4,1310.093,1310.093,155.559
5,1439.025,1439.025,169.8239
6,1458.202,1458.202,100.0835
7,1469.373,1469.373,235.6422
8,1553.358,1553.358,283.4088
9,1585.203,1585.203,165.4443
10,1590.827,1590.827,188.881
11,1590.828,1590.828,194.9116
12,1590.828,1590.828,216.0269
13,1685.896,1685.896,199.257
14,1685.896,1684.885,192.8697
15,1685.896,1685.896,156.1954
16,1685.896,1685.896,279.1745
17,1685.896,1685.896,234.135
18,1685.896,1685.896,206.2011
19,1685.896,1685.896,148.5373
20,1685.896,1685.896,245.4676
21,1685.896,1684.885,222.093
22,1708.236,1708.236,251.493
23,1708.236,1708.236,185.9173
24,1708.236,1708.236,234.9021
25,1708.236,1708.236,243.6527
26,1708.236,1708.236,206.5711
27,1708.236,1708.236,259.2546
28,1708.236,1708.236,284.7624
29,1708.236,1708.236,233.3357
30,1708.236,1708.236,226.3031
31,1708.236,1708.236,233.3923
32,1727.563,1727.563,205.3643
33,1727.564,1727.564,173.2388
34,1727.564,1727.564,240.6735
35,1727.564,1727.564,200.2779
36,1727.564,1727.564,238.425
37,1727.564,1727.564,211.7109
38,1727.564,1727.564,202.457
39,1743.376,1743.376,252.5056
40,1745.661,1745.661,154.1594
41,1745.661,1745.661,181.5035
42,1745.661,1745.661,212.7422
43,1745.661,1745.661,149.2362
44,1745.661,1745.661,189.4082
45,1760.055,1760.055,215.8068
46,1760.057,1760.057,163.283
47,1760.057,1760.057,166.5672
48,1760.057,1760.057,161.6174
49,1760.057,1760.057,207.8014
50,1760.057,1760.057,198.0871
51,1760.057,1760.057,152.5885
52,1760.057,1760.057,219.7278
53,1760.057,1760.057,153.9553
54,1760.057,1760.057,183.4187
55,1772.432,1772.432,134.5537
56,1772.432,1760.054,96.99835
57,1772.432,1760.057,216.1556
58,1772.432,1760.057,192.4296
59,1772.432,1760.057,173.5869
60,1772.432,1771.332,154.3679
61,1772.432,1771.189,173.9507
62,1772.432,1771.189,172.6207
63,1772.432,1771.522,158.7605
64,1772.432,1771.508,160.4083
65,1772.432,1771.508,178.3325
66,1772.432,1771.508,113.7684
67,1772.432,1771.508,152.6238
68,1772.432,1771.508,159.2153
69,1772.432,1771.508,153.4398
70,1772.432,1771.508,166.2849
71,1772.432,1771.508,172.1159
72,1772.432,1771.508,199.1506
73,1772.432,1771.508,201.4669
74,1772.432,1771.508,162.5182
75,1772.432,1771.508,209.2664
76,1772.432,1771.508,136.6695
77,1772.432,1771.508,148.0897
78,1772.432,1771.508,130.314
79,1772.432,1771.508,133.4182
80,1772.432,1771.508,166.684
81,1772.432,1771.508,154.2971
82,1772.432,1771.508,218.2967
83,1772.432,1771.508,213.5507
84,1772.432,1771.508,274.3231
85,1772.432,1771.508,187.8942
86,1772.432,1771.508,169.5966
87,1772.432,1771.508,150.725
88,1772.432,1771.508,176.938
89,1772.432,1771.508,208.5218
90,1772.432,1771.508,181.8289
91,1772.432,1771.508,184.5025
92,1772.432,1771.508,237.5571
93,1772.432,1771.508,143.8149
94,1772.432,1771.508,132.9197
95,1772.432,1771.508,96.07335
96,1772.432,1771.508,162.6221
97,1772.432,1771.508,115.8731
98,1775.943,1775.943,155.4563
99,1775.945,1775.945,169.8921
100,1803.176,1803.176,140.3273
101,1803.22,1803.22,148.1352
102,1840.398,1840.398,704.6263
