Generation,BestRecord,GenBestRecord,Average
1,-0.003091012,0,-210.423
2,-0.002459567,-0.002459567,-7.606164
3,921.9732,921.9732,34.99875
4,948.5101,948.5101,558.1247
5,961.4373,961.4373,540.6454
6,1001.161,1001.161,407.4879
7,1185.882,1185.882,482.0038
8,1223.43,1223.43,497.803
9,1286.46,1286.46,554.4822
10,1369.667,1369.667,531.4573
11,1392.746,1392.746,388.8525
12,1411.207,1411.207,408.6953
13,1428.283,1428.283,432.4969
14,1428.478,1428.478,264.8931
15,1456.6,1456.6,287.8111
16,1503.416,1503.416,423.4855
17,1503.416,1503.416,304.77
18,1503.657,1503.657,210.1966
19,1503.657,1503.657,302.043
20,1511.675,1511.675,282.6917
21,1526.918,1526.918,291.3819
22,1527.349,1527.349,206.6129
23,1534.852,1534.852,217.859
24,1564.512,1564.512,253.4762
25,1564.512,1564.512,371.3778
26,1567.17,1567.17,137.8001
27,1567.17,1567.17,74.56795
28,1584.358,1584.358,172.7405
29,1584.358,1584.358,133.0728
30,1584.358,1584.358,162.0009
31,1584.358,1584.358,202.219
32,1584.358,1584.358,173.6996
33,1584.358,1584.358,166.4578
34,1584.358,1584.358,172.9557
35,1584.358,1584.358,162.9001
36,1584.358,1584.358,183.2945
37,1584.358,1584.358,198.2122
38,1584.358,1584.358,154.6565
39,1584.358,1584.358,146.0402
40,1591.117,1591.117,159.952
41,1591.117,1591.117,137.7342
42,1591.117,1591.117,167.4537
43,1591.117,1591.117,177.8503
44,1591.117,1591.117,146.2033
45,1591.117,1591.117,122.6884
46,1591.117,1591.117,173.8513
47,1591.117,1591.117,193.4742
48,1591.117,1591.117,101.5565
49,1591.117,1591.117,136.3957
50,1591.117,1591.117,181.2796
51,1591.117,1591.117,147.6682
52,1591.117,1591.117,243.9005
53,1591.117,1591.117,75.47173
54,1591.117,1591.117,130.3077
55,1591.117,1591.117,147.0735
56,1591.117,1591.117,129.8291
57,1591.117,1591.117,175.1052
58,1591.117,1591.117,196.4322
59,1591.117,1591.117,118.3617
60,1591.117,1591.117,141.6801
61,1591.117,1591.117,92.9375
62,1591.117,1591.117,142.6698
63,1591.117,1591.117,117.9015
64,1591.117,1591.117,147.8334
65,1591.117,1591.117,158.8281
66,1591.117,1591.117,163.0683
67,1591.117,1591.117,187.3421
68,1591.117,1591.117,127.5349
69,1591.117,1591.117,90.66315
70,1591.117,1591.117,164.6017
71,1591.117,1591.117,153.026
72,1591.117,1591.117,143.1569
73,1591.117,1591.117,142.7594
74,1591.117,1591.117,113.2528
75,1591.117,1591.117,88.88239
76,1591.117,1591.117,144.633
77,1591.117,1591.117,184.8784
78,1591.117,1591.117,172.2078
79,1591.117,1591.117,105.0538
80,1591.117,1591.117,120.9618
81,1591.117,1591.117,166.261
82,1591.117,1591.117,139.8962
83,1591.117,1591.117,134.2346
84,1591.117,1591.117,100.8876
85,1591.117,1591.117,131.2935
86,1591.117,1591.117,143.4884
87,1591.117,1591.117,146.9892
88,1591.117,1591.117,137.0323
89,1591.117,1591.117,88.36664
90,1591.117,1591.117,123.3443
91,1591.117,1591.117,133.9151
92,1591.117,1591.117,199.9012
93,1591.117,1591.117,150.4202
94,1591.117,1591.117,104.5139
95,1591.117,1591.117,162.5016
96,1591.117,1591.117,194.6971
97,1591.117,1591.117,163.0047
98,1591.117,1591.117,180.0047
99,1591.117,1591.117,125.8454
100,1591.117,1591.117,118.6129
101,1591.117,1591.117,123.1185
102,1592.539,1592.539,237.7873
103,1593.647,1593.647,158.7234
