Generation,BestRecord,GenBestRecord,Average
1,-0.04631867,0,-204.7919
2,-0.003599086,-0.003599086,-34.25342
3,-0.002548074,-0.002548074,-64.65185
4,-0.002548074,-0.00255325,-76.08799
5,-0.002540964,-0.002540964,-68.4362
6,-0.00253897,-0.00253897,-57.04374
7,-0.00253839,-0.00253839,-79.84918
8,-0.00253839,-0.00253839,-64.65188
9,-0.00253839,-0.00253839,-102.6505
10,-0.00253839,-0.00253839,-91.23703
11,-0.00253839,-0.00253839,-102.6971
12,-0.00253839,-0.00253839,-114.0387
13,-0.002521924,-0.002521924,-117.8138
14,-0.002521924,-0.002525367,-110.2555
15,-0.002521924,-0.002524879,-83.64439
16,-0.002521924,-0.002524407,-91.34015
17,-0.002496264,-0.002496264,-76.03082
18,-0.00246414,-0.00246414,-83.6399
19,-0.00246362,-0.00246362,-38.02771
20,-0.001011224,-0.001011224,-45.62849
21,-0.001011124,-0.001011124,-68.44888
22,914.5718,914.5718,-51.70713
23,978.8472,978.8472,-85.60471
24,980.7923,980.7923,-25.656
25,980.8049,980.8049,-1.453821
26,982.2964,982.2964,-72.29748
27,982.2964,981.2605,-19.65274
28,982.2964,981.6122,-65.56667
29,982.2964,980.8049,-22.12721
30,1217.95,1217.95,-39.06665
31,1217.95,1217.95,35.56419
32,1311.925,1311.925,255.1318
33,1409.907,1409.907,129.0825
34,1409.967,1409.967,194.9846
35,1469.691,1469.691,247.7859
36,1469.792,1469.792,201.3093
37,1479.548,1479.548,211.9757
38,1496.452,1496.452,261.6198
39,1546.475,1546.475,184.5386
40,1547.858,1547.858,190.0793
41,1547.858,1547.858,126.639
42,1547.858,1547.858,157.596
43,1547.858,1547.858,203.4423
44,1569.79,1569.79,170.9308
45,1569.79,1569.79,135.4799
46,1569.79,1567.953,183.9057
47,1569.79,1569.248,187.627
48,1574.756,1574.756,276.9372
49,1575.229,1575.229,168.3928
50,1575.229,1575.229,90.48041
51,1575.229,1575.229,105.5554
52,1575.229,1575.229,143.2475
53,1575.229,1575.229,144.7655
54,1575.229,1575.229,99.65148
55,1575.229,1575.229,117.9579
56,1576.167,1576.167,141.7477
57,1576.167,1576.079,160.4953
58,1597.002,1597.002,175.665
59,1597.002,1596.084,179.9828
60,1597.002,1596.354,183.5146
61,1597.002,1596.084,97.07317
62,1597.002,1596.084,100.5583
63,1597.002,1596.354,210.4923
64,1599.062,1599.062,128.0426
65,1608.123,1608.123,140.5458
66,1608.123,1607.959,147.4165
67,1608.123,1607.959,191.0415
68,1608.123,1607.959,205.8233
69,1608.123,1607.959,166.4891
70,1608.123,1606.815,159.1817
71,1608.123,1607.959,130.3564
72,1608.123,1607.959,156.8452
73,1608.123,1607.959,206.7118
74,1608.123,1607.959,158.8497
75,1608.123,1607.959,177.5082
76,1608.123,1607.959,67.87398
77,1608.123,1607.959,201.3361
78,1608.123,1607.959,153.872
79,1608.123,1607.959,195.4638
80,1608.123,1607.959,172.2507
81,1608.123,1607.959,251.4998
82,1608.123,1608.014,137.4305
83,1608.716,1608.716,175.177
84,1608.716,1608.716,96.31927
85,1611.282,1611.282,190.6541
86,1611.703,1611.703,128.0384
87,1611.703,1611.703,209.4012
88,1611.703,1611.703,172.0815
89,1611.703,1611.703,207.8055
90,1611.703,1611.703,184.3089
91,1611.703,1611.703,217.8772
92,1611.703,1611.703,174.1014
93,1625.129,1625.129,198.0236
94,1651.218,1651.218,164.4061
95,1651.895,1651.895,187.8761
96,1652.833,1652.833,236.6038
97,1653.219,1653.219,192.0874
98,1653.219,1653.219,121.3787
99,1699.661,1699.661,168.9388
100,1699.661,1699.661,184.9839
101,1705.928,1705.928,147.4448
