Generation,BestRecord,GenBestRecord,Average
1,-0.002688248,0,-226.8175
2,-0.00101296,-0.00101296,-11.45305
3,-0.0009657046,-0.0009657046,-13.33065
4,-0.0009637292,-0.0009637292,-15.23197
5,-0.0009276029,-0.0009276029,-0.0927356
6,-0.0009234708,-0.0009234708,-7.703932
7,-0.0009201574,-0.0009201574,-26.63071
8,-0.0009201574,-0.0009201574,-36.13747
9,2054.154,2054.154,20.46439
10,2210.128,2210.128,52.61693
11,2210.128,2202.834,140.7672
12,2309.341,2309.341,150.9939
13,2393.188,2393.188,159.9093
14,2397.973,2397.973,167.7653
15,2397.973,2396.029,153.1107
16,2397.973,2396.029,150.4914
17,2397.973,2396.029,130.7157
18,2409.089,2409.089,135.8011
19,2409.153,2409.153,133.1453
20,2409.153,2409.153,100.857
21,2409.153,2409.153,181.3201
22,2409.153,2409.153,112.0055
23,2409.153,2409.153,199.1754
24,2409.153,2409.153,153.4641
25,2409.153,2409.153,144.2216
26,2409.153,2409.153,149.5057
27,2471.725,2471.725,211.1224
28,2471.725,2471.725,173.0953
29,2471.725,2471.725,104.0512
30,2471.725,2471.725,125.2005
31,2471.725,2471.725,111.1197
32,2471.725,2471.725,117.0279
33,2471.725,2471.725,173.471
34,2471.725,2471.725,118.3151
35,2471.725,2471.725,130.9199
36,2471.725,2471.725,94.99682
37,2471.725,2471.725,136.7697
38,2471.725,2471.725,126.6027
39,2471.725,2471.725,89.42017
40,2471.725,2471.725,126.8082
41,2471.725,2471.725,117.4332
42,2471.725,2471.725,128.2845
43,2471.725,2471.725,99.36032
44,2471.725,2471.725,127.9112
45,2471.725,2471.725,118.5013
46,2471.725,2471.725,120.4416
47,2471.725,2471.725,121.3303
48,2471.725,2471.725,114.4797
49,2471.725,2471.725,127.594
50,2471.725,2471.725,132.5194
51,2471.725,2471.725,129.0447
52,2471.725,2471.725,104.7573
53,2471.725,2471.725,135.2108
54,2471.725,2471.725,149.0391
55,2471.725,2471.725,121.3362
56,2471.725,2471.725,130.4193
57,2471.725,2471.725,106.2761
58,2471.725,2471.725,128.7556
59,2471.725,2471.725,97.98862
60,2471.725,2471.725,115.5201
61,2471.725,2471.725,133.537
62,2471.725,2471.725,94.00839
63,2471.725,2471.725,118.6281
64,2471.725,2471.725,130.8841
65,2471.725,2471.725,102.3596
66,2471.725,2471.725,149.9245
67,2471.725,2471.725,136.9733
68,2471.725,2471.725,133.612
69,2471.725,2471.725,131.6328
70,2471.725,2471.725,152.0532
71,2471.725,2471.725,144.2812
72,2471.725,2471.725,119.6731
73,2484.796,2484.796,108.5289
74,2484.796,2484.796,140.9194
75,2484.796,2484.796,186.6286
76,2484.796,2484.796,139.6624
77,2494.07,2494.07,218.1189
78,2494.07,2484.796,140.8804
79,2494.07,2484.796,121.632
80,2494.07,2484.796,106.9763
81,2494.07,2484.796,106.4023
82,2494.07,2484.796,126.6706
83,2494.07,2484.796,142.2548
84,2494.07,2484.796,111.0923
85,2494.07,2484.796,132.5771
86,2494.07,2484.796,163.1441
87,2494.07,2484.796,120.7264
88,2494.07,2484.796,162.7171
89,2494.07,2484.796,129.1828
90,2494.07,2484.796,164.6772
91,2494.07,2484.796,154.2122
92,2494.07,2484.796,166.8613
93,2494.07,2484.796,171.6978
94,2494.07,2484.796,204.3492
95,2494.07,2484.796,189.339
96,2494.07,2484.796,138.4987
97,2494.07,2484.796,154.156
98,2494.07,2484.796,157.137
99,2494.07,2484.796,155.3361
100,2494.07,2484.796,181.9248
101,2506.559,2506.559,158.5292
102,2507.527,2507.527,686.1245
103,2510.843,2510.843,642.5816
104,2516.714,2516.714,605.4681
105,2519.171,2519.171,604.6467
106,2520.201,2520.201,470.5908
107,2520.201,2520.201,544.3182
108,2520.201,2520.201,371.5497
109,2520.201,2520.201,480.911
110,2520.201,2520.201,456.2365
