Generation,BestRecord,GenBestRecord,Average
1,-0.01222908,0,-191.3011
2,-0.005322355,-0.005322355,-7.620531
3,-0.003141134,-0.003141134,-38.05478
4,-0.001701843,-0.001701843,-7.609631
5,-0.001690678,-0.001690678,-7.623256
6,-0.001274357,-0.001274357,-45.63163
7,652.4655,652.4655,-16.3034
8,715.6645,715.6645,-24.43302
9,796.397,796.397,27.25746
10,796.397,794.4077,49.89148
11,796.397,781.1414,39.71861
12,796.397,776.8649,19.55761
13,799.9951,799.9951,57.92859
14,799.9951,789.8504,54.55561
15,807.0132,807.0132,74.70301
16,938.8549,938.8549,73.74406
17,938.8549,919.7622,68.37746
18,1005.362,1005.362,96.58212
19,1069.533,1069.533,74.83926
20,1078.461,1078.461,90.3456
21,1078.461,1077.842,115.054
22,1095.517,1095.517,79.21538
23,1271.286,1271.286,95.41405
24,1319.414,1319.414,183.7655
25,1455.425,1455.425,365.0155
26,1512.499,1512.499,516.4299
27,1561.418,1561.418,448.0992
28,1636.39,1636.39,232.1378
29,1636.77,1636.77,191.6237
30,1636.77,1635.422,168.7353
31,1636.77,1635.422,154.4928
32,1639.751,1639.751,155.3177
33,1652.92,1652.92,190.2082
34,1667.431,1667.431,226.6757
35,1687.484,1687.484,124.2415
36,1692.245,1692.245,127.7729
37,1744.592,1744.592,263.7307
38,1857.374,1857.374,414.7298
39,1876.097,1876.097,200.759
40,1876.481,1876.481,234.4702
41,1921.045,1921.045,269.7373
42,2018.688,2018.688,325.8434
43,2018.688,2012.36,185.7472
44,2024.096,2024.096,181.6742
45,2034.715,2034.715,308.7735
46,2034.715,2034.715,170.2384
47,2036.168,2036.168,183.4736
48,2058.69,2058.69,289.9204
49,2065.423,2065.423,230.8896
50,2065.423,2065.239,165.6063
51,2065.423,2065.239,148.5456
52,2065.423,2065.239,215.3182
53,2065.833,2065.833,230.5908
54,2101.141,2101.141,325.1848
55,2124.499,2124.499,238.1109
56,2124.499,2121.693,333.5052
57,2124.499,2121.693,212.6909
58,2125.52,2125.52,361.4461
59,2125.52,2123.636,239.1471
60,2136.653,2136.653,256.0347
61,2136.653,2136.617,236.9923
62,2136.653,2136.617,154.8873
63,2136.653,2136.617,201.3786
64,2149.687,2149.687,388.1264
65,2149.687,2149.687,346.0104
66,2149.687,2149.687,337.5783
67,2149.687,2149.687,237.2257
68,2149.687,2149.687,342.213
69,2164.732,2164.732,260.3108
70,2164.732,2164.731,225.603
71,2164.732,2164.731,225.4214
72,2164.732,2164.731,227.2276
73,2172.998,2172.998,271.2138
74,2189.078,2189.078,306.3894
75,2189.078,2189.077,336.2112
76,2189.344,2189.344,391.9808
77,2189.802,2189.802,353.6775
78,2203.863,2203.863,267.0378
79,2203.863,2203.815,449.9784
80,2206.546,2206.546,233.0216
81,2206.546,2206.546,256.3788
82,2206.546,2206.546,410.9835
83,2206.546,2206.546,380.2631
84,2206.546,2206.546,478.4615
85,2206.546,2206.546,370.2873
86,2206.546,2206.546,289.6656
87,2211.798,2211.798,285.0492
88,2211.798,2210.718,378.1609
89,2211.798,2210.718,388.9514
90,2211.798,2210.718,365.023
91,2221.995,2221.995,278.3421
92,2253.917,2253.917,269.2006
93,2300.833,2300.833,419.593
94,2317.473,2317.473,334.1407
95,2317.478,2317.478,271.5002
96,2325.054,2325.054,288.0304
97,2325.054,2325.054,290.3267
98,2325.054,2325.054,290.0327
99,2325.054,2325.054,295.0139
100,2336.803,2336.803,237.2695
101,2384.302,2384.302,239.7494
102,2384.904,2384.904,953.7878
103,2401.463,2401.463,765.1088
104,2402.235,2402.235,554.7909
105,2402.581,2402.581,847.0667
106,2403.657,2403.657,803.0309
107,2403.657,2403.655,728.753
