Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.01246814,0,-211.1465,-30.48024
2,-0.004086335,-0.004086335,-11.43713,-0.0175643
3,-0.0007412976,-0.0007412976,-64.61082,-0.006229895
4,-0.0007412976,-0.0008583056,-34.21217,-0.003145756
5,-0.0004343831,-0.0004343831,-53.22883,-0.003663894
6,-0.0004343831,-0.0004792009,-38.04818,-0.003862723
7,-0.0004343831,-0.0005191879,-41.81847,-0.00245698
8,-0.0004343831,-0.0004479054,-38.01885,-0.002290908
9,-0.0004343831,-0.0006618795,-26.61541,-0.002303123
10,-0.0004343831,-0.0008623175,-60.80933,-0.002643686
11,-0.0004329543,-0.0004329543,-49.39753,-0.00287551
12,-0.0004329543,-0.0005222095,-49.40228,-0.002179066
13,-0.0004114135,-0.0004114135,-60.80524,-0.002467015
14,0,0,-30.41174,-0.00116904
15,0,0,-30.40376,-0.001491107
16,0,0,-38.01029,-0.001170552
17,0,0,-41.80232,-0.001066901
18,0,0,-22.80861,-0.001071575
19,0,0,-19.01734,-0.001302896
20,0,0,-11.41201,-0.001195372
21,0,0,-34.20282,-0.00108016
22,0,0,-22.81198,-0.0010373
23,0,0,-19.00534,-0.0008154365
24,0,0,-45.59705,-0.00116107
25,0,0,-11.40797,-0.0009471232
26,0,0,-38.00456,-0.001244562
27,0,0,-30.40742,-0.0009586497
28,0,0,-45.60048,-0.001223359
29,0,0,-41.80852,-0.0008870978
30,0,0,-18.99957,-0.0009641645
31,0,-0.0004485353,-19.00673,-0.001046382
32,0,-0.0004228466,-22.81425,-0.00106901
33,0,0,-41.79767,-0.001081165
34,0,0,-30.40449,-0.0008650246
35,0,0,-11.40356,-0.0007578532
36,0,0,-34.20219,-0.0008489908
37,0,0,-15.20624,-0.001041659
38,0,0,-30.41953,-0.001135197
39,0,0,-18.99846,-0.001052017
40,0,0,-34.19873,-0.0008895695
41,0,-0.0004332158,-26.63428,-0.001242421
42,0,-0.0004226651,-15.21206,-0.001944395
43,0,0,-41.79701,-0.0009323545
44,0,-0.0004100234,-30.40366,-0.001052599
45,0,0,-26.61248,-0.001220201
46,0,-0.0004339744,-15.20587,-0.001149914
47,0,0,-30.40872,-0.001310561
48,0,-0.0003804541,-22.81708,-0.001502561
49,0,0,-11.40834,-0.001147059
50,0,0,-11.41417,-0.001331954
51,0,0,-19.00901,-0.001274896
52,0,0,-11.40938,-0.0008202571
53,0,0,-22.81853,-0.0008696017
54,0,0,-15.21275,-0.001021653
55,0,0,-7.616344,-0.001161328
56,0,0,-30.41,-0.001193824
57,0,0,-7.615784,-0.001154222
58,0,0,-26.61155,-0.001188557
59,0,0,-15.22307,-0.001488844
60,0,-0.0003686405,-11.41568,-0.001486046
61,0,-0.0004108233,-30.41532,-0.001081284
62,0,0,-22.81752,-0.001105354
63,0,0,-19.009,-0.0009524642
64,0,0,-3.826548,-0.0008643022
65,0,0,-19.07563,-0.001136272
66,0,0,-7.604132,-0.0006525927
67,0,0,-15.21368,-0.0009413494
68,0,0,-22.82244,-0.0009949601
69,0,0,-7.608418,-0.000835051
70,0,0,-15.20323,-0.0007815803
71,0,0,-19.00448,-0.0009261231
72,0,0,-15.20662,-0.001043315
73,0,-0.0003817694,-3.81124,-0.0009909031
74,0,0,-15.20968,-0.001067351
75,0,0,-19.01003,-0.0009753178
76,0,0,-3.814668,-0.0006551702
77,0,0,-7.609931,-0.0008375225
78,0,0,-3.815512,-0.0008294247
79,0,0,-15.21516,-0.0007999574
80,0,0,-7.6204,-0.0008456114
81,0,0,-11.41592,-0.001443348
82,0,0,-3.817537,-0.001063778
83,0,0,-11.41245,-0.001012647
84,0,0,-7.616697,-0.001290297
85,0,0,-3.822206,-0.001415184
86,0,0,-11.42388,-0.001124664
87,0,0,-11.40982,-0.001195765
88,0,-0.0004603421,-11.41206,-0.00132179
89,0,0,-7.612296,-0.0011375
90,0,0,-0.01772066,-0.001657884
91,0,0,-11.41284,-0.001566869
92,0,0,-3.818767,-0.001267678
93,0,0,-26.59966,-0.001009216
94,0,0,-34.20296,-0.0009091173
95,0,0,-34.19921,-0.001015294
96,0,0,-3.811195,-0.001005037
97,0,0,-7.608534,-0.0009967019
98,0,0,-7.605948,-0.001013967
99,0,0,-0.01616172,-0.001497729
100,0,0,-3.813284,-0.001223915
101,0,0,-19.03947,-0.001098576
102,0,0,-0.007016061,-0.0007493727
