Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.01142686,0,-229.6594,-53.27292
2,-0.002531727,-0.002531727,-38.02328,-0.0109432
3,-0.002076368,-0.002076368,-26.61089,-0.008897264
4,-0.002076368,-0.002455252,-22.82351,-0.008715007
5,-0.002076368,-0.003096273,-34.42194,-0.007347588
6,-0.001099168,-0.001099168,-15.26279,-0.00399889
7,0,0,-15.22377,-0.003918904
8,0,-0.001781093,-7.611148,-0.004658613
9,0,0,-11.41776,-0.003944983
10,0,0,-22.81142,-0.003541885
11,0,0,-11.43612,-0.004574791
12,0,0,-7.63548,-0.004199773
13,0,0,-3.84819,-0.006571121
14,0,0,-3.830053,-0.003556179
15,0,0,-15.24018,-0.003997246
16,0,0,-22.98093,-0.00464878
17,0,-0.001007671,-11.42554,-0.005012495
18,0,0,-7.616248,-0.001727824
19,0,0,-22.8098,-0.002726116
20,0,0,-11.41733,-0.001464072
21,0,0,-3.822628,-0.002043616
22,0,0,-3.838466,-0.003119813
23,0,0,-19.02381,-0.002433246
24,0,0,-3.825526,-0.002160445
25,0,0,-22.81499,-0.002171285
26,0,0,-11.42037,-0.001046701
27,0,0,-0.0255843,-0.002331004
28,0,0,-15.21924,-0.001151114
29,0,0,-11.41946,-0.002237032
30,0,0,-3.816194,-0.001256437
31,0,0,-15.23111,-0.002116291
32,0,0,-7.618583,-0.001273949
33,0,0,-3.815477,-0.001289172
34,0,0,-0.01813148,-0.00248723
35,0,0,-7.629477,-0.002851952
36,0,0,-0.02464949,-0.002146524
37,0,0,-3.953467,-0.001407388
38,0,0,-3.819312,-0.00189781
39,0,0,-11.4228,-0.0005579835
40,0,0,-3.929526,-0.001485536
41,0,0,-11.41177,-0.002099507
42,0,0,-0.0226212,-0.001833309
43,0,0,-0.01692981,-0.001041466
44,0,0,-3.82518,-0.001877417
45,0,0,-3.827203,-0.001827475
46,0,0,-7.626134,-0.00192371
47,0,0,-0.02173818,-0.001895234
48,0,0,-3.818332,-0.001799336
49,0,0,-7.611522,-0.001293214
50,0,0,-3.81729,-0.001961216
51,0,0,-3.814045,-0.001286334
52,0,0,-15.2181,-0.001636949
53,0,0,-11.41967,-0.001720947
54,0,0,-0.02051235,-0.002043705
55,0,0,-3.821025,-0.001903476
56,0,0,-3.820283,-0.0009709192
57,0,0,-15.20715,-0.0009042937
58,0,0,-7.613592,-0.001122116
59,0,0,-7.61419,-0.001805695
60,0,0,-3.822023,-0.001093796
61,0,0,-7.611921,-0.00121654
62,0,0,-3.811421,-0.001151279
63,0,0,-0.01810467,-0.001319534
64,0,0,-0.01804929,-0.001091023
65,0,0,-3.818633,-0.001500198
66,0,0,-7.6137,-0.001734694
67,0,0,-3.82198,-0.00137834
68,0,0,-11.41625,-0.001006723
69,0,0,-7.612326,-0.001541234
70,0,0,-3.822019,-0.0009774484
71,0,0,-0.01601275,-0.00104514
72,0,0,-0.02195375,-0.001753283
73,0,0,-7.624876,-0.0007952332
74,0,0,-3.818137,-0.0005062034
75,0,0,-0.01882663,-0.001032375
76,0,0,-7.612241,-0.0006892767
77,0,0,-0.0157535,-0.001206495
78,0,0,-0.01762071,-0.001919248
79,0,0,-0.01571388,-0.00135302
80,0,0,-0.01389704,-0.000481872
81,0,0,-0.01317671,-0.0003135909
82,0,0,-0.01561431,-7.32706E-05
83,0,0,-0.01910278,-0.001562106
84,0,0,-0.01645898,-0.0007925268
85,0,0,-3.810588,-0.0007092604
86,0,0,-3.811131,-0.0007735533
87,0,0,-3.817435,-0.001286378
88,0,0,-0.0130808,-0.001357536
