Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.01265732,0,-182.0932,-0.09154208
2,-0.003149749,-0.003149749,-3.82365,-0.01159367
3,-0.003110399,-0.003110399,-1.918428,-0.00978526
4,-0.003096284,-0.003096284,-5.717265,-0.008176579
5,-0.002217933,-0.002217933,-5.717483,-0.00755162
6,-0.001644085,-0.001644085,-9.514435,-0.006732998
7,0,0,-13.31273,-0.006240798
8,0,0,-20.92173,-0.006838795
9,0,0,-19.03339,-0.00942592
10,0,0,-11.46775,-0.009017141
11,0,0,-17.22301,-0.006748689
12,0,0,-22.82538,-0.005993804
13,0,0,-26.62644,-0.006823965
14,0,0,-32.35077,-0.005546655
15,0,0,-13.33936,-0.004276558
16,0,0,-15.3012,-0.004682284
17,0,0,-20.91604,-0.005547521
18,0,0,-24.75431,-0.00526948
19,0,0,-19.07167,-0.005293416
20,0,0,-45.71476,-0.005288619
21,0,0,-15.24522,-0.005596493
22,0,0,-7.654979,-0.00542331
23,0,0,-9.567048,-0.006063561
24,0,0,-30.49133,-0.006020401
25,0,0,-17.21733,-0.003835964
26,0,0,-38.02925,-0.004168363
27,0,0,-17.14099,-0.003592957
28,0,0,-15.21522,-0.004290734
29,0,0,-5.725802,-0.002515731
30,0,0,-17.11755,-0.003190913
31,0,0,-17.12145,-0.002660441
32,0,0,-19.04716,-0.00354372
33,0,0,-20.91474,-0.001747735
34,0,0,-28.55282,-0.001885412
35,0,0,-19.19792,-0.002671143
36,0,0,-9.518096,-0.00159204
37,0,0,-36.16268,-0.001842852
38,0,0,-15.21915,-0.001491579
39,0,0,-15.21398,-0.002386144
40,0,0,-15.21514,-0.00219447
41,0,0,-36.13947,-0.002512159
42,0,0,-19.15622,-0.001287463
43,0,0,-19.01008,-0.001603318
44,0,0,-22.80883,-0.0008715221
45,0,0,-28.50898,-0.001366153
46,0,0,-15.26413,-0.0009875377
47,0,0,-22.81376,-0.00133434
48,0,0,-20.93219,-0.001463143
49,0,0,-17.11681,-0.0006533821
50,0,0,-24.70993,-0.00128469
51,0,0,-13.31604,-0.001254537
52,0,0,-17.12025,-0.0004874944
53,0,0,-26.61761,-0.001140981
54,0,0,-19.01337,-0.0002623426
55,0,0,-26.62185,-0.001436272
56,0,0,-39.90551,-0.001259568
57,0,0,-28.50579,-0.001031821
58,0,0,-19.01107,-0.0007047269
59,0,0,-22.81335,-0.0007419728
60,0,0,-11.41534,-0.001186612
61,0,0,-36.10195,-0.0004275124
62,0,0,-22.80996,-0.0006134601
63,0,0,-24.76393,-0.001134907
64,0,0,-17.11318,-0.0006445382
65,0,0,-19.01899,-0.0008840992
66,0,0,-28.50478,-0.001478033
67,0,0,-22.81403,-0.0008365361
68,0,0,-15.20896,-0.0002778761
69,0,0,-24.71615,-0.001160519
70,0,0,-15.21453,-0.0006282518
71,0,0,-13.30827,-0.0002710005
72,0,0,-22.82559,-0.0005225987
73,0,0,-26.60883,-0.001578761
74,0,0,-17.11579,-0.000886943
75,0,0,-13.32542,-0.0003066804
76,0,0,-15.21576,-0.001196323
77,0,0,-11.41432,-0.0008147984
78,0,0,-17.11835,-0.001358599
79,0,0,-24.71074,-0.000637407
80,0,0,-26.60366,-0.0006125253
81,0,0,-32.31036,-0.001995891
82,0,0,-28.52216,-0.0007160801
83,0,0,-28.55309,-0.000415887
84,0,0,-11.53158,-0.0009627312
85,0,0,-17.11413,-0.0007406479
86,0,0,-26.60613,-0.0001823514
87,0,0,-26.602,-0.0009481874
88,0,0,-20.97366,-0.0009820627
89,0,0,-13.32126,-0.0005903313
90,0,0,-22.81446,-0.001122523
91,0,0,-17.1185,-0.001946529
92,0,0,-9.513664,-0.0003601781
93,0,0,-15.21394,-0.0009586809
94,0,0,-9.513443,-0.00143306
95,0,0,-7.619956,-0.0007968005
96,0,0,-13.31798,-0.001286114
97,0,0,-20.91027,-0.001157751
98,0,0,-19.01172,-0.001145383
99,0,0,-26.60929,-0.001025432
100,0,0,-24.71197,-0.00118152
