Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.003606315,0,-135.4351,-0.08103211
2,-0.00301596,-0.00301596,-30.43576,-0.009489799
3,-0.00301596,-0.003114335,-0.02383204,-0.01033998
4,-0.00301596,-0.003071629,-3.825348,-0.004734101
5,-0.00301596,-0.003091094,-15.22375,-0.00751274
6,-0.002767195,-0.002767195,-3.811639,-0.00376608
7,-0.002767195,-0.00310846,-15.21685,-0.008723589
8,-0.002767195,-0.003067863,-11.42661,-0.008620453
9,-0.002767195,-0.003060948,-7.616941,-0.005076385
10,-0.002767195,-0.003140128,-30.44381,-0.006906255
11,-0.002767195,-0.003109166,-53.22656,-0.004984054
12,-0.002767195,-0.003076714,-22.8334,-0.00467679
13,-0.002767195,-0.003082138,-34.25587,-0.006860248
14,-0.002068774,-0.002068774,-45.64279,-0.003748649
15,-0.002068774,-0.002142522,-49.44548,-0.00711028
16,-0.001547584,-0.001547584,-0.01872786,-0.005453602
17,0,0,-7.619221,-0.00473434
18,0,-0.00104446,-3.812946,-0.003310979
19,0,-0.0007391505,-3.816445,-0.00308359
20,0,-0.0009678825,-0.02792897,-0.003249655
21,0,-0.0009128946,-7.626891,-0.002603959
22,0,0,-0.02033683,-0.002538017
23,0,-0.000915619,-0.01243454,-0.002627598
24,0,0,-3.8183,-0.00370735
25,0,0,-0.02123309,-0.002279505
26,0,0,-0.009749427,-0.001726351
27,0,0,-0.01483964,-0.001272721
28,0,0,-0.02679212,-0.002369789
29,0,0,-7.620555,-0.003034133
30,0,0,-3.832485,-0.001805761
31,0,0,-3.827288,-0.002372838
32,0,0,-7.630295,-0.002234136
33,0,0,-0.03973397,-0.001391933
34,0,0,-0.02302016,-0.001180129
35,0,0,-0.03167125,-0.004077457
36,0,0,-7.664797,-0.004294671
37,0,0,-0.1290486,-0.003075022
38,0,0,-3.824296,-0.001811328
39,0,0,-11.41826,-0.002442577
40,0,0,-7.629149,-0.002690054
41,0,0,-19.047,-0.002713256
42,0,0,-3.824421,-0.00362276
43,0,0,-0.02976241,-0.00172966
44,0,0,-0.01854678,-0.001248537
45,0,0,-0.02133883,-0.001806043
46,0,0,-7.624928,-0.0008305995
47,0,0,-15.22352,-0.001083646
48,0,0,-7.617992,-0.002088753
49,0,0,-0.01878933,-0.0006269614
50,0,0,-0.031612,-0.001218226
51,0,0,-0.01481632,-0.001431792
52,0,0,-3.831191,-0.001930162
53,0,0,-3.819298,-0.00131788
54,0,0,-7.637314,-0.001731524
55,0,0,-3.821927,-0.001209588
56,0,0,-3.830353,-0.0006193169
57,0,0,-0.02103939,-0.001529016
58,0,0,-3.820235,-0.0007071319
59,0,0,-0.02116369,-0.0005267099
60,0,0,-3.816456,-0.000430195
61,0,0,-3.813949,-0.001229654
62,0,0,-3.815996,-0.002128316
63,0,0,-3.830133,-0.002194983
64,0,0,-0.01985528,-0.001747381
65,0,0,-0.02703778,-0.001193055
66,0,0,-3.809556,-0.001726552
67,0,0,-0.02074822,-0.0006150257
68,0,0,-0.02136978,-0.001478151
69,0,0,-0.0129888,-0.000960116
70,0,0,-0.02154006,-0.001793558
71,0,0,-0.01909565,-0.001500414
72,0,0,-0.01722478,-0.001300933
73,0,0,-7.610376,-0.002070478
74,0,0,-0.0213301,-0.001308541
75,0,0,-0.02543482,-0.001226536
76,0,0,-0.02286919,-0.001770303
77,0,0,-0.01645652,-0.0005597601
78,0,0,-0.01319257,-0.0006855699
79,0,0,-0.02158475,-0.0009184856
80,0,0,-0.01936387,-0.0002698907
81,0,0,-0.01752346,-0.001227011
82,0,0,-0.01785714,-0.0009071745
83,0,0,-0.0192695,-0.0008076139
84,0,0,-3.814196,-0.001262252
85,0,0,-0.01921566,-0.0009595113
86,0,0,-0.02100101,-0.0006870742
87,0,0,-0.03362101,-0.001208941
88,0,0,-3.826734,-0.001048165
89,0,0,-0.0247795,-0.0007034487
90,0,0,-3.830598,-0.002951933
91,0,0,-0.01851017,-0.001420698
92,0,0,-0.02105762,-0.00135903
93,0,0,-0.01914368,-0.0009750417
94,0,0,-0.01871157,-0.001029054
95,0,0,-0.0249712,-0.0007608704
96,0,0,-0.02746132,-0.002052698
97,0,0,-0.01930429,-0.0009408
98,0,0,-0.02469934,-0.001391636
99,0,0,-0.02784354,-0.001609099
100,0,0,-7.62473,-0.001056928
101,0,0,-7.620373,-0.0008962688
102,0,0,-0.008818526,0
103,0,0,-0.00665274,-0.0003005805
104,0,0,-0.007100862,-0.0002371891
105,0,0,-3.805703,-0.0001019443
106,0,0,-0.007975539,0
107,0,0,-0.004136201,0
108,0,0,-0.01270132,-0.0005597331
109,0,0,-0.009043367,0
110,0,0,-0.008788857,-4.330264E-05
111,0,0,-0.009146428,-0.0004111791
112,0,0,-3.809742,0
113,0,0,-0.01049624,0
114,0,0,-0.01030549,0
115,0,0,-0.008623582,-4.677987E-05
116,0,0,-0.006321624,0
117,0,0,-0.008990368,-1.939589E-05
118,0,0,-0.008396358,-2.083816E-05
119,0,0,-0.008258503,0
120,0,0,-0.008905586,0
