Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.005978418,0,-197.2596,-3.95353
2,-0.002438952,-0.002438952,-24.71846,-0.009960591
3,-0.002072295,-0.002072295,-17.10734,-0.006311691
4,-0.002072295,-0.002522204,-30.41356,-0.004856362
5,-0.001765257,-0.001765257,-66.49226,-0.00440709
6,-0.001372958,-0.001372958,-22.83254,-0.005260193
7,-0.001285806,-0.001285806,-1.92395,-0.004954295
8,-0.001134059,-0.001134059,-7.631865,-0.005063167
9,-0.001134059,-0.001528222,-9.522048,-0.006136483
10,0,0,-3.827416,-0.004351073
11,0,-0.0009621182,-7.620287,-0.004264931
12,0,-0.001355349,-7.626575,-0.007029951
13,0,-0.001045483,-7.619527,-0.00456819
14,0,0,-0.02385617,-0.003169373
15,0,0,-3.822758,-0.003185218
16,0,0,-1.934144,-0.003039076
17,0,0,-1.932305,-0.002290028
18,0,0,-1.937545,-0.003883974
19,0,0,-11.42587,-0.003162151
20,0,0,-5.724955,-0.00267808
21,0,0,-11.42147,-0.002528594
22,0,0,-1.935337,-0.002478438
23,0,0,-5.735433,-0.002733555
24,0,0,-1.925537,-0.002211651
25,0,0,-3.821883,-0.001995868
26,0,0,-5.727668,-0.002330954
27,0,0,-3.83319,-0.003296509
28,0,0,-3.824872,-0.00218014
29,0,0,-1.926478,-0.002263692
30,0,0,-5.720511,-0.002141237
31,0,0,-1.932416,-0.001654458
32,0,0,-5.720181,-0.001516688
33,0,0,-3.823804,-0.001944087
34,0,0,-5.72696,-0.001952861
35,0,0,-3.819105,-0.001411306
36,0,0,-3.820489,-0.001380342
37,0,0,-5.725082,-0.001395755
38,0,0,-7.614833,-0.001247364
39,0,0,-5.735775,-0.001548473
40,0,0,-3.831445,-0.001948609
41,0,0,-3.821987,-0.002655568
42,0,0,-3.821014,-0.0007093728
43,0,0,-1.928418,-0.002146515
44,0,0,-5.720769,-0.001604047
45,0,0,-5.722952,-0.002010461
46,0,0,-9.518262,-0.001045072
47,0,0,-3.820081,-0.001858388
48,0,0,-5.72226,-0.0007842515
49,0,0,-0.02233559,-0.001587
50,0,0,-9.518087,-0.0016398
51,0,0,-7.623502,-0.001381788
52,0,0,-0.02087633,-0.001401097
53,0,0,-1.916453,-0.0008720864
54,0,0,-3.812638,-0.001282981
55,0,0,-1.916266,-0.0007282181
56,0,0,-0.01534681,-0.0007921821
57,0,0,-3.816459,-0.001025844
58,0,0,-0.01794707,-0.001663272
59,0,0,-0.02087865,-0.0008398032
60,0,0,-0.01525719,-0.001396835
61,0,0,-1.914375,-0.0008108367
62,0,0,-1.91573,-0.001009084
63,0,0,-3.811246,-0.0006380121
64,0,0,-1.919007,-0.001716043
65,0,0,-1.966714,-0.001566825
66,0,0,-0.02255063,-0.001390526
67,0,0,-0.01728451,-0.001433467
68,0,0,-1.918608,-0.0007682805
69,0,0,-3.819621,-0.001178301
70,0,0,-3.830208,-0.0006836045
71,0,0,-5.711809,-0.001196162
72,0,0,-0.03995379,-0.001246041
73,0,0,-3.837977,-0.001258873
74,0,0,-0.02606782,-0.00139576
75,0,0,-1.916008,-0.001111265
76,0,0,-0.01760706,-0.0006728726
77,0,0,-0.0159222,-0.001579571
78,0,0,-1.922019,-0.001496167
79,0,0,-0.01380436,-0.000708901
80,0,0,-1.913973,-0.001383116
81,0,0,-1.916318,-0.0006194373
82,0,0,-1.944601,-0.001092663
83,0,0,-9.562767,-0.001211706
84,0,0,-3.822986,-0.0008434959
85,0,0,-0.02168256,-0.001258485
86,0,0,-9.652279,-0.0008862867
87,0,0,-3.82008,-0.001110387
88,0,0,-1.915341,-0.001293552
89,0,0,-5.740344,-0.0004371042
90,0,0,-9.525126,-0.000900552
91,0,0,-7.611109,-0.0004427505
92,0,0,-1.912216,-0.0007023827
93,0,0,-3.845586,-0.0005087973
94,0,0,-3.815521,-0.0008999028
95,0,0,-9.507099,-0.0008045722
96,0,0,-0.01660914,-0.0008164646
97,0,0,-1.914571,-0.0003436373
98,0,0,-3.861455,-0.0009473485
99,0,0,-1.982534,-0.0006980465
100,0,0,-0.03131911,-0.0009898157
101,0,0,-9.512558,-0.0007799251
102,0,0,-0.006929132,0
103,0,0,-1.902501,0
104,0,0,-3.806414,-2.603812E-05
105,0,0,-1.905423,0
106,0,0,-3.804852,0
107,0,0,-0.006851593,0
108,0,0,-3.805243,-0.0001120522
109,0,0,-9.502647,0
110,0,0,-9.505268,0
111,0,0,-3.811343,0
112,0,0,-0.005891168,0
113,0,0,-1.904646,0
114,0,0,-3.802281,0
