Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.006280548,0,-181.8658,-0.04750653
2,-0.002460561,-0.002460561,-15.2317,-0.007924292
3,-0.002029309,-0.002029309,-29.20622,-0.003696311
4,0,0,-38.04699,-0.001807033
5,0,0,-25.43616,-0.001690479
6,0,-0.0009100109,-21.5617,-0.001279747
7,0,0,-38.08386,-0.0008754233
8,0,-0.0009104992,-39.27858,-0.001759577
9,0,0,-41.82189,-0.001486363
10,0,0,-15.24995,-0.0009489488
11,0,-0.0006202318,-39.28545,-0.001658449
12,0,0,-22.83535,-0.00172326
13,0,0,-31.67781,-0.001471631
14,0,0,-36.75229,-0.001884465
15,0,-0.0009636219,-57.01479,-0.001293491
16,0,0,-63.34009,-0.001502199
17,0,0,-38.01772,-0.0009783471
18,0,0,-22.81759,-0.001174675
19,0,0,-40.54353,-0.00123325
20,0,0,-29.1448,-0.001273205
21,0,0,-34.21254,-0.001093128
22,0,0,-34.20855,-0.001003664
23,0,-0.0006262913,-19.02571,-0.001617974
24,0,0,-21.57335,-0.0009831806
25,0,0,-21.55103,-0.001532225
26,0,-0.0004106723,-45.60582,-0.00149797
27,0,0,-20.28712,-0.001110046
28,0,0,-22.81697,-0.0008563244
29,0,0,-10.16306,-0.0008155483
30,0,-0.0008597326,-29.1494,-0.001038414
31,0,0,-30.41339,-0.0009325959
32,0,0,-21.55968,-0.001050178
33,0,0,-20.30114,-0.001223397
34,0,-0.0004612814,-32.94546,-0.0009550757
35,0,0,-41.81244,-0.000838101
36,0,0,-39.27617,-0.001291795
37,0,-0.0003989192,-26.62221,-0.002097777
38,0,-0.0007422126,-27.98758,-0.001211963
39,0,0,-27.88667,-0.001283024
40,0,0,-27.87984,-0.001022881
41,0,0,-20.29737,-0.001253084
42,0,0,-16.49602,-0.0008583684
43,0,0,-16.493,-0.0008900133
44,0,-0.0005686803,-10.1837,-0.00101204
45,0,0,-11.42334,-0.001066477
46,0,0,-15.21906,-0.0008059221
47,0,0,-16.48185,-0.000898382
48,0,0,-6.454999,-0.0007973184
49,0,0,-3.837082,-0.0006186925
50,0,0,-16.48458,-0.0008664393
51,0,0,-11.42041,-0.0008305414
52,0,0,-16.49908,-0.0006749794
53,0,0,-21.55115,-0.0007600751
54,0,0,-21.54625,-0.0007788382
55,0,0,-13.94994,-0.0007867824
56,0,0,-6.350891,-0.0009412805
57,0,0,-10.15383,-0.0008984386
58,0,0,-29.14332,-0.000828511
59,0,0,-20.2773,-0.0007393299
60,0,0,-6.344389,-0.0006779442
61,0,0,-11.41512,-0.0008157081
62,0,0,-5.0806,-0.0007781872
63,0,0,-10.50887,-0.0007404257
64,0,0,-11.4113,-0.0008579355
65,0,0,-7.610461,-0.0008289109
66,0,0,-15.23931,-0.0007242355
67,0,0,-5.08835,-0.0008198084
68,0,0,-13.97797,-0.0007866386
69,0,0,-2.547558,-0.0007168602
70,0,0,-3.812294,-0.000817773
71,0,0,-3.820385,-0.0006765142
72,0,0,-7.612604,-0.0009181031
73,0,0,-11.41057,-0.0007351738
74,0,0,-2.551107,-0.0007632343
75,0,0,-3.821575,-0.0006791842
76,0,0,-2.556034,-0.0008571176
77,0,0,-1.284006,-0.0007336973
78,0,0,-6.347511,-0.001227528
79,0,0,-2.549933,-0.0008920199
80,0,-0.0004497524,-1.284772,-0.001031956
81,0,0,-1.283903,-0.0008332687
82,0,0,-2.575734,-0.0008792907
83,0,-0.0004605374,-5.085205,-0.0008803167
84,0,-0.000449337,-7.615465,-0.0009150427
85,0,0,-2.554794,-0.0009290781
86,0,-0.0003999974,-0.0298033,-0.0008603398
87,0,-0.0005434265,-6.350226,-0.0009857775
88,0,-0.0004336502,-1.287225,-0.0009266769
89,0,0,-0.02876399,-0.0007858865
90,0,0,-2.546587,-0.000765536
91,0,0,-1.288864,-0.0006014966
92,0,0,-1.287784,-0.0007280931
93,0,0,-0.0189383,-0.0006404369
94,0,-0.0004344737,-2.562629,-0.0009125974
95,0,0,-5.085067,-0.000824301
96,0,0,-1.289799,-0.0005862317
97,0,0,-1.285012,-0.0007284133
98,0,-0.0003818828,-0.0251319,-0.001083363
99,0,0,-2.558216,-0.0008276975
100,0,-0.0004332809,-2.556338,-0.0009544165
101,0,-0.0004218811,-0.01492728,-0.0007207408
102,0,0,-0.009295032,-0.0004607483
103,0,0,-0.009237198,-0.0007199472
104,0,0,-0.008710032,-0.0005658487
105,0,0,-0.004902169,-0.0004902657
