Generation,BestRecord,GenBestRecord,Average
1,616.2417,616.2417,-180.7688
2,616.2417,-0.0009951581,-15.22766
3,918.1359,918.1359,2.894816
4,955.5929,955.5929,9.534165
5,955.5929,926.744,16.49698
6,955.5929,-0.002159756,-7.615163
7,955.5929,-0.001185051,-0.02146606
8,1110.803,1110.803,54.83435
9,1110.803,1070.601,59.71084
10,1110.803,1042.411,22.17275
11,1110.803,958.5065,28.24462
12,1110.803,857.2003,19.50093
13,1110.803,964.9634,37.53675
14,1110.803,995.8572,191.212
15,1110.803,1053.001,166.4837
16,1110.803,843.0634,15.58182
17,1110.803,889.5141,116.2157
18,1110.803,922.4616,148.3223
19,1110.803,944.1023,127.391
20,1110.803,952.9484,177.6823
21,1110.803,977.7817,88.84397
22,1110.803,949.1324,68.0944
23,1110.803,987.5521,39.44487
24,1110.803,1038.238,14.57187
25,1110.803,980.085,80.61538
26,1110.803,1054.292,136.8965
27,1110.803,-0.001363366,-0.0272414
28,1110.803,1052.668,37.03236
29,1110.803,937.53,9.352001
30,1110.803,947.1456,55.41368
31,1110.803,1006.851,67.3474
32,1110.803,983.5637,97.50544
33,1169.927,1169.927,117.7412
34,1332.608,1332.608,135.4343
35,1332.608,-0.0009177967,-3.813802
36,1332.608,-0.001023324,-3.858668
37,1332.608,1157.418,11.55491
38,1332.608,-0.0008072226,-0.02821546
39,1332.608,1229.025,24.09539
40,1332.608,1262.984,28.29105
41,1332.608,-0.001230339,-3.830738
42,1332.608,-0.001552643,-3.842309
43,1332.608,-0.001117406,-0.02751694
44,1332.608,-0.001048458,-3.830946
45,1332.608,1062.547,-0.8041319
46,1332.608,1297.483,45.13519
47,1337.314,1337.314,96.8903
48,1337.314,1302.437,32.90089
49,1337.314,-0.0009710185,-0.03129666
50,1337.314,1271.075,-6.316313
51,1337.314,1318.996,13.16682
52,1337.314,1333.431,52.63214
53,1337.314,1009.423,10.94876
54,1337.314,1014.293,158.6995
55,1337.314,1081.284,54.30126
56,1337.314,952.3923,5.706288
57,1337.314,945.2178,35.87854
58,1337.314,1141.192,256.7745
59,1337.314,1180.649,165.7073
60,1337.314,1290.703,153.3383
61,1350.845,1350.845,228.0654
62,1414.226,1414.226,70.87256
63,1414.226,1348.619,42.63431
64,1439.862,1439.862,128.6646
65,1439.862,1295.439,25.12445
66,1439.862,1315.75,14.01506
67,1439.862,1422.15,69.63228
68,1439.862,1371.162,35.81444
69,1439.862,1220.355,44.17057
70,1439.862,1223.781,110.6126
71,1439.862,1370.991,118.672
72,1446.245,1446.245,61.66297
73,1466.007,1466.007,154.8967
74,1466.007,1397.172,2.551224
75,1466.654,1466.654,42.3035
76,1573.742,1573.742,95.75565
77,1573.742,1571.644,106.6813
78,1573.742,1563.178,75.52195
79,1573.742,1543.997,37.98286
80,1573.742,1406.59,38.57871
81,1573.742,1349.511,25.49576
82,1573.742,1338.927,37.75317
83,1573.742,1364.271,231.7098
84,1573.742,1312.548,37.72393
85,1573.742,1471.295,104.2449
86,1573.742,1447.289,95.87556
87,1573.742,1497.636,23.59114
88,1573.742,1538.865,93.92083
89,1573.742,1552.866,111.7815
90,1576.083,1576.083,76.41815
91,1576.083,1561.839,57.33788
92,1576.083,-0.0007369742,-7.612391
93,1576.083,1513.883,59.43665
94,1576.083,1473.41,29.0631
95,1576.083,1556.434,182.3967
96,1576.083,1511.098,45.14996
97,1576.083,1503.907,83.38709
98,1576.083,1501.367,87.36872
99,1642.722,1642.722,111.8189
100,1642.722,1437.002,10.55367
101,1642.722,1485.122,77.69597
102,1642.722,1510.511,299.0343
103,1642.722,1533.005,150.3489
104,1642.722,1582.955,531.9692
105,1642.722,1556.973,246.6373
106,1666.878,1666.878,414.8026
107,1698.456,1698.456,252.3211
108,1701.441,1701.441,268.6999
109,1715.672,1715.672,168.09
110,1715.672,1706.693,84.12319
111,1741.012,1741.012,100.9946
112,1741.012,1728.327,137.0792
113,1748.113,1748.113,359.4076
114,1789.96,1789.96,224.147
115,1814.344,1814.344,161.4202
116,1814.344,1806.022,71.3828
117,1814.344,1790.498,231.712
118,1814.344,1792.734,17.91875
119,1814.344,1797.672,17.96688
120,1814.344,-0.0005967456,-0.009715335
121,1841.878,1841.878,214.2071
122,1860.098,1860.098,146.7207
123,1860.098,1855.685,129.0967
124,1860.098,-0.0006625808,-3.812131
125,1860.098,1782.57,87.69773
126,1860.098,1832.958,142.0807
127,1860.098,-0.00123326,-0.01969311
128,1860.098,1816.943,50.95309
129,1860.098,1484.121,44.3837
130,1860.098,1513.834,453.9731
131,1860.098,1531.581,405.9233
132,1860.098,1556.172,135.7281
133,1860.098,1585.036,257.9008
134,1860.098,1583.122,200.6401
135,1860.098,1610.623,110.052
136,1860.098,1606.96,159.8021
137,1860.098,1643.233,142.748
138,1860.098,1643.981,65.61091
139,1860.098,1633.421,191.7962
140,1860.098,1639.786,226.7276
141,1860.098,1656.78,115.6583
142,1860.098,1651.213,16.50042
143,1860.098,1671.699,99.35638
144,1860.098,1679.451,133.4866
145,1860.098,1673.03,16.72068
146,1860.098,1716.715,231.1477
147,1860.098,1664.826,195.0228
148,1860.098,1690.504,166.0136
149,1860.098,1695.462,286.8219
150,1860.098,-0.0005978568,-0.01208931
151,1860.098,1670.398,116.5419
152,1860.098,1761.371,287.0937
153,1860.098,1701.257,17.00287
154,1860.098,1727.043,271.3727
155,1860.098,1727.417,49.43872
156,1860.098,1422.964,23.08941
157,1860.098,1472.516,290.6092
158,1860.098,1480.299,290.1735
159,1860.098,1536.458,277.9863
160,1860.098,1531.215,192.3694
161,1860.098,1549.06,279.5447
162,1860.098,1583.214,382.5265
163,1860.098,1566.763,289.4955
164,1860.098,1578.707,318.0459
165,1860.098,1569.521,72.43192
166,1860.098,1615.377,257.6727
167,1860.098,1604.686,110.2708
168,1860.098,1592.088,105.4518
169,1860.098,1595.056,94.74804
170,1860.098,1617.596,127.1092
171,1860.098,1609.942,230.3176
172,1860.098,1658.558,360.3718
173,1860.098,1620.813,62.44565
174,1860.098,1626.091,94.44289
175,1860.098,1632.29,332.397
176,1860.098,1649.831,31.00867
177,1860.098,1613.887,124.4771
178,1860.098,1591.677,115.1381
179,1860.098,1587.645,182.2392
180,1860.098,1613.408,202.0952
181,1860.098,1607.031,150.5022
182,1860.098,1617.759,59.73577
183,1860.098,1633.301,156.5318
184,1860.098,1629.156,353.1075
185,1860.098,1688.288,323.6469
186,1860.098,1719.765,177.4615
187,1860.098,-0.0008762489,-3.805652
188,1860.098,1627.594,59.94231
189,1860.098,1646.899,222.4039
190,1860.098,1652.793,352.7383
191,1860.098,1701.569,123.6108
192,1860.098,1683.964,95.84468
193,1860.098,1727.299,199.3064
194,1860.098,1726.028,114.394
195,1860.098,1736.298,98.99111
196,1860.098,-0.0006251631,-0.006550227
197,1860.098,1737.588,237.7703
198,1860.098,1726.847,65.34454
199,1860.098,1748.082,190.2836
200,1860.098,1717.887,238.5756
201,1860.098,-0.0008618811,-0.007155238
202,1860.098,1764.482,136.9365
203,1860.098,1743.146,86.45846
204,1860.098,1756.687,117.6954
205,1860.098,1817.692,310.4131
206,1860.098,1813.778,53.23877
207,1860.098,1781.094,70.33654
208,1860.098,1771.457,69.77393
209,1860.098,-0.0006593776,-0.007143795
210,1860.098,1743.613,101.0837
211,1860.098,-0.0006991116,-0.00380724
212,1860.098,1709.901,82.68111
213,1860.098,1692.32,67.40506
214,1860.098,1732.48,102.5361
215,1860.098,1785.649,99.48271
216,1860.098,1720.879,67.46503
217,1860.098,1737.947,96.20256
218,1860.098,1715.883,102.2571
219,1860.098,1770.062,34.77428
220,1860.098,1737.216,30.85437
221,1860.098,1756.26,311.4203
222,1860.098,1744.209,85.80872
223,1860.098,1832.17,35.73399
224,1860.098,1661.807,16.60533
225,1860.098,1754.12,68.35278
226,1860.098,1748.694,69.11932
227,1860.098,1454.71,14.5384
228,1860.098,1465.847,57.67055
229,1860.098,1479.031,262.1118
230,1860.098,1482.51,215.3674
231,1860.098,1468.366,319.1438
232,1860.098,1507.174,234.1664
233,1860.098,1506.288,287.1906
234,1860.098,1536.149,137.0973
235,1860.098,1528.141,151.5964
236,1860.098,1548.025,141.8689
237,1860.098,1582.94,107.4149
238,1860.098,1601.623,269.5066
239,1860.098,1623.86,124.9197
240,1860.098,1628.127,190.6213
241,1860.098,1639.084,353.6469
242,1860.098,1659.905,180.6859
243,1860.098,1639.923,16.38823
244,1860.098,1673.972,81.24865
245,1860.098,-0.0006621353,-0.01517878
246,1860.098,1611.494,37.71502
247,1860.098,1613.822,128.86
248,1860.098,1639.783,334.34
249,1860.098,-0.0006994336,-0.01119533
250,1860.098,1662.738,149.1675
251,1860.098,1632.288,16.31651
252,1860.098,1659.058,145.2723
253,1860.098,1633.929,46.43944
254,1860.098,1625.962,74.01743
255,1860.098,1602.081,145.4154
256,1860.098,1608.222,76.25208
257,1860.098,1597.877,219.1271
258,1860.098,1611.931,186.2872
259,1860.098,1598.742,60.62497
260,1860.098,1596.315,104.4151
261,1860.098,1600.544,123.2043
262,1860.098,-0.001230386,-0.0314147
263,1860.098,1600.794,314.775
264,1860.098,1606.039,126.3448
265,1860.098,1594.113,140.7479
266,1860.098,1605.29,365.0319
267,1860.098,1614.65,184.8586
268,1860.098,1634.618,258.1007
269,1860.098,1615.553,16.14288
270,1860.098,1652.855,65.66232
271,1860.098,1644.807,98.25996
272,1860.098,1625.216,96.66757
273,1860.098,1607.47,47.99897
274,1860.098,1533.82,15.32615
275,1860.098,1607.631,320.339
276,1860.098,1647.219,239.0512
277,1860.098,1675.254,292.4423
