Generation,BestRecord,GenBestRecord,Average
1,-0.01222361,0,-216.3495
2,-0.002991009,-0.002991009,-34.22869
3,-0.001920754,-0.001920754,-19.04909
4,-0.001920754,-0.002562426,-22.81938
5,-0.001920754,-0.003156899,-19.03567
6,-0.001920754,-0.002658449,-22.82842
7,-0.001901335,-0.001901335,-26.62539
8,-0.001901335,-0.001910092,-11.41693
9,-0.001646186,-0.001646186,-11.43513
10,-0.001646186,-0.001839536,-22.83253
11,-0.001147432,-0.001147432,-19.10819
12,-0.001065748,-0.001065748,-26.61467
13,-0.001065748,-0.002316696,-7.631242
14,751.7429,751.7429,3.689532
15,751.7429,728.1306,-4.137447
16,751.7429,-0.001899099,-7.641644
17,751.7429,-0.002496975,-15.24398
18,751.7429,-0.002150553,-3.821668
19,849.4982,849.4982,0.8704387
20,849.4982,-0.001460017,-15.29984
21,1043.093,1043.093,33.03188
22,1043.093,997.8159,8.286198
23,1043.093,-0.001187177,-15.21511
24,1043.093,1004.245,18.70851
25,1043.093,-0.001073192,-22.83179
26,1043.093,1019.873,-6.386696
27,1043.093,995.6918,-9.061268
28,1043.093,1031.232,9.656986
29,1043.093,-0.001637807,-11.4282
30,1043.093,-0.00117705,-7.638407
31,1043.093,987.4063,-4.523771
32,1043.093,-0.001664881,-15.22846
33,1043.093,866.7026,2.345316
34,1043.093,819.8789,-3.796005
35,1043.093,862.4985,-25.62606
36,1043.093,967.6126,16.72159
37,1043.625,1043.625,42.10746
38,1043.625,908.1915,10.03387
39,1043.625,991.3505,-12.91797
40,1043.625,1041.829,58.96152
41,1105.415,1105.415,115.331
42,1143.17,1143.17,113.462
43,1162.951,1162.951,21.8793
44,1241.089,1241.089,116.7803
45,1241.089,1232.176,83.90982
46,1241.089,-0.0009061766,-3.82496
47,1241.089,1093.225,10.90531
48,1241.089,1190.874,20.48654
49,1241.089,1182.212,52.71798
50,1241.089,803.0763,4.198951
51,1241.089,1216.016,40.08566
52,1258.733,1258.733,31.25347
53,1397.755,1397.755,62.22065
54,1397.755,1270.399,8.885382
55,1444.793,1444.793,10.62447
56,1444.793,1353.763,13.51983
57,1444.793,1291.896,1.513544
58,1490.869,1490.869,133.9875
59,1534.212,1534.212,163.1629
60,1564.001,1564.001,60.5897
61,1604.032,1604.032,143.1248
62,1644.603,1644.603,233.5794
63,1644.603,1596.902,12.1538
64,1644.603,1599.103,76.10738
65,1644.603,1595.364,66.06203
66,1644.603,1552.052,52.16766
67,1644.603,1618.648,39.58935
68,1644.603,1584.57,67.57744
69,1644.603,1589.248,70.23293
70,1644.603,1596.963,23.3682
71,1644.603,1582.089,62.55891
72,1644.603,1618.786,99.7104
73,1662.478,1662.478,117.805
74,1662.955,1662.955,105.4636
75,1662.955,1618.895,85.3364
76,1662.955,1609.341,41.94162
77,1662.955,1582.515,34.49252
78,1662.955,1525.492,33.04696
79,1662.955,1495.29,41.55162
80,1662.955,1490.606,45.43334
81,1662.955,1437.306,36.84525
82,1662.955,1463.757,36.75762
83,1662.955,1444.533,58.18633
84,1662.955,1520.058,46.24109
85,1662.955,1604.492,13.4381
86,1662.955,1467.048,-0.5541515
87,1662.955,1501.463,25.69072
88,1662.955,1510.39,46.63439
89,1662.955,1513.736,173.1082
90,1662.955,1592.086,175.9832
91,1662.955,934.5954,5.532222
92,1662.955,1639.044,157.4953
93,1662.955,1551.434,22.99067
94,1662.955,1561.562,51.27541
95,1662.955,1483.611,11.02267
96,1662.955,1620.34,62.91636
97,1662.955,1602.512,70.59503
98,1699.512,1699.512,96.44675
99,1699.512,-0.000739464,-0.02094677
100,1699.512,1546.009,113.3139
101,1699.512,1584.337,179.4055
102,1699.512,1646.252,408.1921
