Generation,BestRecord,GenBestRecord,Average
1,-0.004200847,0,-167.5274
2,-0.002118492,-0.002118492,-19.03486
3,-0.001093575,-0.001093575,-28.54696
4,-0.001093575,-0.00109967,-22.99201
5,-0.001093575,-0.00208145,-57.0464
6,-0.001093575,-0.00124645,-5.743737
7,-0.00105885,-0.00105885,-19.04604
8,-0.001058831,-0.001058831,-49.47279
9,-0.001058831,-0.001088514,-38.83897
10,-0.001058831,-0.001088146,-64.90518
11,806.8552,806.8552,-35.93954
12,865.7065,865.7065,-0.8979428
13,865.7065,-0.00206094,-3.872866
14,865.7065,-0.001131833,-15.25661
15,865.7065,-0.001622234,-24.74595
16,865.7065,-0.001197655,-15.24031
17,865.7065,-0.00210551,-0.03233497
18,865.7065,857.9095,4.255234
19,865.7065,803.7631,2.061859
20,865.7065,-0.001539594,-5.762578
21,865.7065,797.9204,5.370492
22,865.7065,861.2225,23.02569
23,865.7065,605.0172,1.093404
24,865.7065,773.5258,3.837664
25,865.7065,-0.001054074,-1.947234
26,865.7065,-0.001051979,-1.925088
27,865.7065,-0.001051982,-0.02704799
28,865.7065,-0.001015779,-3.823239
29,865.7065,-0.00105321,-1.918212
30,865.7065,-0.001049656,-7.616656
31,865.7065,-0.001061018,-1.914698
32,927.0035,927.0035,8.754337
33,927.0035,894.0056,-3.16254
34,927.0035,-0.001049431,-0.03500441
35,927.0035,-0.00106832,-5.746727
36,927.0035,-0.001090116,-7.801722
37,927.0035,912.4474,4.512442
38,927.0035,806.4394,3.989471
39,927.0035,-0.001053612,-1.94427
40,927.0035,-0.001053158,-0.06363919
41,927.0035,-0.001059045,-1.94482
42,927.0035,-0.001117649,-1.959473
43,927.0035,-0.001089072,-0.06320966
44,927.0035,900.5236,6.976507
45,927.0035,919.5427,13.6416
46,927.0035,682.1569,-0.5226558
47,927.0035,904.0878,-11.61118
48,927.0035,-0.001082839,-13.33826
49,927.0035,895.1384,1.065403
50,927.0035,875.7255,-28.05641
51,927.0035,-0.001089015,-5.736325
52,927.0035,919.5773,-16.34564
53,1326.158,1326.158,7.786333
54,1326.158,893.043,-6.957866
55,1326.158,901.0928,-5.191287
56,1326.158,850.1722,4.264123
57,1326.158,685.7509,-21.31494
58,1326.158,-0.001248865,-13.32402
59,1326.158,-0.001089275,-0.02624921
60,1326.158,-0.001061394,-3.812599
61,1326.158,-0.001046446,-7.663717
62,1326.158,-0.001048974,-7.620185
63,1326.158,-0.001053955,-40.41155
64,1326.158,-0.0005717733,-3.806977
65,1326.158,-0.001051059,-1.906807
66,1326.158,-0.001047149,-7.610932
67,1326.158,-0.0009737929,-3.807987
68,1326.158,-0.0010271,-1.91092
69,1326.158,1054.077,-6.161565
70,1326.158,-0.00104535,-87.41456
71,1326.158,1008.526,-40.58015
72,1326.158,-0.001060495,-68.41978
73,1326.158,-0.0008707765,-9.52193
74,1326.158,1211.032,4.091951
75,1326.158,-0.001065932,-7.643746
76,1326.158,1074.554,4.584991
77,1326.158,890.024,-8.863132
78,1857.133,1857.133,9.455149
79,1857.133,-0.000700422,-1.965156
80,1857.133,-0.0006285989,-0.01171021
81,1857.133,-0.0009750646,-5.750144
82,1857.133,-0.0009229708,-0.06960604
83,1857.133,-0.0008420283,-3.817888
84,1857.133,-0.0006584588,-9.514624
85,1857.133,-0.0009255988,-7.619483
86,1857.133,-0.001046208,-1.918228
