Generation,BestRecord,GenBestRecord,Average
1,-0.004022554,0,-187.2578
2,-0.002719915,-0.002719915,-28.55864
3,-0.002375217,-0.002375217,-3.870405
4,-0.001769232,-0.001769232,-7.616632
5,-0.001769232,-0.002490159,-3.820174
6,-0.0009700978,-0.0009700978,-1.925198
7,-0.0009700978,-0.00211018,-7.616914
8,-0.0009700978,-0.002108203,-13.32705
9,-0.0009700978,-0.002495335,-20.97767
10,-0.0009700978,-0.001581236,-15.23347
11,-0.0009700978,-0.001661695,-30.56439
12,940.2539,940.2539,-2.547534
13,940.2539,-0.002236386,-19.04851
14,940.2539,-0.001831628,-32.33659
15,940.2539,-0.001071854,-13.33404
16,1298.166,1298.166,-3.135844
17,1298.166,-0.001554832,-9.569965
18,1298.166,-0.001794397,-11.48142
19,1298.166,-0.001045546,-9.538559
20,1298.166,-0.0008668093,-9.53905
21,1298.166,-0.001755794,-13.34511
22,1320.712,1320.712,2.396853
23,1320.712,684.4154,-11.81953
24,1320.712,1171.605,-1.844847
25,1320.712,-0.0008083388,-5.733774
26,1320.712,1116.85,9.055753
27,1437.86,1437.86,5.266098
28,1437.86,-0.001366825,-7.642865
29,1437.86,-0.0008638902,-19.031
30,1707.294,1707.294,13.95116
31,1707.294,920.2863,2.674122
32,1707.294,-0.00104029,-11.43788
33,1707.294,-0.000596726,-0.02459271
34,1818.251,1818.251,9.069407
35,1818.251,1651.5,4.401726
36,1818.251,1601.576,7.989496
37,1818.251,-0.0005968201,-0.01735056
38,1818.251,1588.579,12.51538
39,1818.251,1424.938,5.204675
40,1818.251,1447.799,9.493536
41,1818.251,1211.5,-12.96819
42,1818.251,1375.568,-2.668046
43,1818.251,-0.0008062311,-3.823614
44,1818.251,1378.666,29.5897
45,1818.251,-0.0009211014,-3.837922
46,1818.251,1433.988,16.88254
47,1818.251,1492.566,-0.1505797
48,1818.251,-0.0007405659,-5.725308
49,1818.251,1435.881,0.7969012
50,1818.251,1358.865,4.870896
51,1818.251,1663.485,-1.210499
52,1818.251,-0.0009665062,-13.31705
53,1818.251,1647.211,-20.63725
54,1818.251,1662.749,47.0009
55,1818.251,1581.972,8.516399
56,1818.251,1688.271,9.165108
57,1818.251,-0.0008036571,-3.816135
58,1818.251,1680.763,30.3134
59,1818.251,-0.000915044,-1.915183
60,1818.251,1622.167,30.78686
61,1818.251,1624.097,6.209142
62,1818.251,1653.352,8.257238
63,1818.251,1610.34,15.3716
64,1818.251,1450.316,20.64623
65,1818.251,1519.156,20.02044
66,1818.251,1477.58,33.4142
67,1818.251,1576.835,34.85458
68,1818.251,1621.073,46.76915
69,1818.251,1595.864,22.87245
70,1818.251,1798.524,61.96208
71,1818.251,1609.643,14.95543
72,1818.251,1557.512,45.62106
73,1818.251,1624.753,12.3665
74,1818.251,1688.959,29.91177
75,1818.251,-0.0006996457,-0.0226999
76,1818.251,1470.499,28.60156
77,1818.251,-0.00086061,-0.02732555
78,1818.251,1594.364,15.55399
79,1818.251,1609.272,6.114469
80,1818.251,1580.092,4.068459
81,1818.251,1645.215,27.77571
82,1818.251,839.8142,-3.433343
83,1818.251,824.4435,2.527432
84,1818.251,1527.625,10.61772
85,1818.251,828.6746,-7.369952
86,1818.251,814.9129,0.2260726
87,1818.251,879.2348,16.03561
88,1818.251,961.5079,52.59044
89,1818.251,874.3596,7.589543
90,1818.251,1028.697,63.62591
91,1818.251,1113.24,59.63459
92,1818.251,960.7828,22.35537
93,1818.251,1016.957,100.7787
94,1818.251,1074.647,19.21265
95,1818.251,893.0291,15.17174
96,1818.251,946.441,49.77747
97,1818.251,1270.616,97.05717
98,1818.251,1676.682,47.4025
