Generation,BestRecord,GenBestRecord,Average
1,-0.01137271,0,-195.601
2,-0.001701856,-0.001701856,-0.02289727
3,-0.001701856,-0.001880537,-0.02018665
4,-0.001701856,-0.001907515,-0.02636661
5,-0.001701856,-0.001842491,-0.01322639
6,-0.001639214,-0.001639214,-1.915542
7,-0.0008066235,-0.0008066235,-3.8419
8,1466.245,1466.245,-2.193295
9,1466.245,-0.001601105,-7.796587
10,1466.245,-0.001423487,-15.38745
11,1466.245,-0.001422888,-47.5538
12,1466.245,-0.001088105,-34.23003
13,1466.245,1185.541,-21.16124
14,1466.245,-0.001880014,-11.44828
15,1466.245,-0.001311044,-11.43839
16,1466.245,-0.001078485,-5.76767
17,1466.245,-0.002486862,-3.829908
18,1466.245,-0.001077204,-3.852436
19,1466.245,-0.002653753,-1.948315
20,1466.245,-0.001305377,-1.931276
21,1466.245,-0.001184824,-5.786558
22,1466.245,-0.001656435,-5.729045
23,1466.245,-0.001078526,-3.828391
24,1466.245,-0.0009258644,-3.819471
25,1466.245,-0.001456404,-0.04591034
26,1466.245,-0.001068171,-0.02005016
27,1466.245,-0.001080807,-0.01277028
28,1466.245,-0.0009691261,-5.71649
29,1466.245,-0.0008605314,-1.914726
30,1466.245,-0.00100995,-3.810667
31,1466.245,-0.0008051563,-1.910681
32,1765.858,1765.858,8.817309
33,1765.858,-0.0009132715,-0.01088525
34,1765.858,-0.0009633678,-0.01272828
35,1765.858,1738.975,8.68334
36,1765.858,-0.0009140642,-0.01150453
37,1765.858,-0.0008109857,-0.01653151
38,1765.858,-0.0009611312,-0.01660475
39,1765.858,1587.853,12.4842
40,1765.858,-0.0008662674,-0.01559382
41,1765.858,1671.8,19.9918
42,1765.858,744.8738,1.814556
43,1765.858,-0.001106845,-1.91273
44,1765.858,-0.0008134491,-0.01319282
45,1765.858,1513.669,7.559536
46,1765.858,-0.0009317465,-0.01061174
47,1765.858,-0.0008611082,-0.01055883
48,1765.858,-0.0008857092,-0.008536998
49,1765.858,-0.0008059358,-0.0118187
50,1765.858,-0.0009186904,-0.01192672
51,1765.858,-0.0006640927,-0.0102175
52,1765.858,-0.0009241795,-0.008127748
53,1765.858,-0.0007006351,-0.01700387
54,1765.858,-0.001049045,-0.02369424
55,1765.858,1675.957,8.357951
56,1765.858,-0.0006292347,-0.02459946
57,1765.858,1746.474,8.710133
58,1765.858,-0.0006010954,-0.01885755
59,1765.858,-0.0007494347,-0.01178618
60,1765.858,-0.0006256992,-0.008067507
61,1765.858,1693.529,15.84208
62,1765.858,1670.45,30.01218
63,1765.858,-0.0009723743,-0.0109218
64,1765.858,1657.703,39.266
65,1765.858,1667.026,31.11899
66,1765.858,1740.17,8.695798
67,1785.927,1785.927,8.924499
68,1785.927,-0.0007466761,-0.005865794
69,1785.927,-0.0009216384,-0.006450926
70,1785.927,-0.0006323015,-0.005620205
71,1785.927,1754.556,8.765802
72,1785.927,1683.618,16.61911
73,1785.927,-0.0006975451,-0.00970543
74,1785.927,1570.066,2.134844
75,1785.927,1211.321,6.043969
76,1785.927,1701.835,-2.905491
77,1785.927,1607.456,-3.372252
78,1785.927,-0.0008665745,-28.51127
79,1785.927,-0.000740987,-17.10914
80,1785.927,-0.0009199687,-11.41029
81,1785.927,-0.0007436319,-4.341992
82,1785.927,-0.00106021,-5.709621
83,1819.313,1819.313,-0.41534
84,1819.313,1620.997,-10.907
85,1819.313,1544.108,-18.93963
86,1819.313,-0.0009308896,-13.34199
87,1819.313,-0.001085225,-11.44223
88,1819.313,-0.001089289,-22.91418
89,1819.313,838.1813,-35.72598
90,1819.313,-0.0007437713,-13.37288
91,1819.313,-0.001083098,-0.01314304
92,1819.313,-0.0008021438,-1.941321
93,1819.313,-0.001086584,-1.927766
94,1819.313,-0.0009249967,-1.920989
95,1819.313,1265.603,12.41184
96,1819.313,1290.362,11.37692
97,1819.313,1245.756,-1.237498
98,1819.313,756.9071,-24.7588
99,1819.313,774.8826,-1.863907
100,1819.313,-0.001122932,-15.21057
101,1819.313,930.6421,6.607345
102,1819.313,-0.001049267,-0.01005749
