Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.003032797,0,-219.4447,-130.2495
2,0,0,-3.820664,-0.006321445
3,0,-0.001266069,-15.22126,-0.006699628
4,0,0,-7.63278,-0.006957753
5,0,0,-7.612942,-0.004556828
6,0,0,-0.02737003,-0.006627849
7,0,-0.001099929,-0.03046183,-0.009576251
8,0,0,-11.4384,-0.01900518
9,0,0,-3.826944,-0.006851815
10,0,0,-0.02548355,-0.006374775
11,0,0,-3.82932,-0.008672317
12,0,0,-0.02887556,-0.008285406
13,0,0,-3.826666,-0.01032399
14,0,0,-3.830202,-0.008267016
15,0,0,-0.02651815,-0.005971104
16,0,0,-7.626443,-0.01056908
17,0,0,-0.02956888,-0.01002992
18,0,0,-7.640093,-0.009845719
19,0,0,-11.41592,-0.006348039
20,0,0,-3.829285,-0.009998131
21,0,0,-7.625057,-0.006208609
22,0,0,-3.825285,-0.008697714
23,0,0,-3.826428,-0.009303024
24,0,0,-11.41967,-0.005641774
25,0,0,-3.817186,-0.004527051
26,0,0,-0.02198406,-0.004013841
27,0,0,-3.841068,-0.01579922
28,0,0,-0.01671291,-0.003729809
29,0,0,-0.01766665,-0.004016879
30,0,0,-3.822325,-0.003990665
31,0,0,-3.81872,-0.004161442
32,0,0,-7.643912,-0.01101716
33,0,0,-3.826786,-0.006744568
34,0,0,-3.822997,-0.00393888
35,0,0,-3.820638,-0.003647786
36,0,0,-3.820842,-0.004399479
37,0,0,-3.822494,-0.005717498
38,0,0,-3.839666,-0.006771332
39,0,0,-0.03928864,-0.01058553
40,0,0,-0.01945081,-0.00380218
41,0,0,-7.619779,-0.004755612
42,0,0,-3.825985,-0.006882414
43,0,0,-0.02489397,-0.007580733
44,0,0,-0.01858195,-0.003800641
45,0,0,-3.8137,-0.004654554
46,0,0,-0.02129838,-0.003876878
47,0,0,-15.21632,-0.004171231
48,0,0,-11.41362,-0.003350705
49,0,0,-7.634585,-0.004748741
50,0,0,-7.61254,-0.003915157
51,0,0,-7.624083,-0.005171028
52,0,0,-15.21958,-0.00525265
53,0,0,-3.815578,-0.00470518
54,0,0,-3.820846,-0.004600348
55,0,0,-3.8205,-0.003449464
56,0,0,-7.612719,-0.003898563
57,0,0,-3.8221,-0.00388577
58,0,0,-0.02663762,-0.007555386
59,0,0,-3.823525,-0.004732336
60,0,0,-7.629266,-0.005094808
61,0,0,-0.02591698,-0.007342326
62,0,0,-0.03942126,-0.00626205
63,0,0,-3.857384,-0.00439971
64,0,0,-3.825505,-0.004385816
65,0,0,-3.826381,-0.006303507
66,0,0,-3.825158,-0.004286103
67,0,0,-7.61756,-0.005254011
68,0,0,-0.02813464,-0.004615601
69,0,0,-0.01775576,-0.003582586
70,0,0,-0.02633356,-0.004426855
71,0,0,-3.820697,-0.004510533
72,0,0,-0.02216782,-0.004155801
73,0,0,-0.02753177,-0.005263994
74,0,0,-0.02700565,-0.006131773
75,0,0,-3.825621,-0.005774179
76,0,0,-11.42791,-0.008057631
77,0,0,-3.831226,-0.007259084
78,0,0,-0.0370998,-0.01135326
79,0,0,-0.02798317,-0.002895431
80,0,0,-0.03028001,-0.007889516
81,0,0,-0.02946405,-0.006073968
82,0,0,-0.02897805,-0.007237231
83,0,0,-0.03453429,-0.01293391
84,0,0,-0.02499052,-0.006155988
85,0,0,-0.03089029,-0.008591499
86,0,0,-3.825116,-0.004851098
87,0,0,-3.82932,-0.006406095
88,0,0,-0.03558011,-0.01203599
89,0,0,-0.02626805,-0.006309337
90,0,0,-0.03836505,-0.01444341
91,0,0,-0.03340613,-0.0117207
92,0,0,-0.03282413,-0.0121296
93,0,0,-0.0342292,-0.01434304
94,0,0,-0.03271462,-0.01070801
95,0,0,-3.831223,-0.008978758
96,0,0,-3.831226,-0.01709848
97,0,0,-0.03330093,-0.009201793
98,0,0,-0.03313396,-0.01016071
99,0,0,-0.02946266,-0.008080272
100,0,0,-3.890762,-0.009403684
101,0,0,-0.03223176,-0.01150821
102,0,0,-0.01170577,-0.002411717
103,0,0,-3.815288,-0.002760645
104,0,0,-0.009438691,-0.001917156
105,0,0,-0.01572367,-0.002420832
106,0,0,-0.01212217,-0.00214247
107,0,0,-0.01295774,-0.00339205
