Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.004784167,0,-230.4678,-135.8248
2,-0.001843183,-0.001843183,-45.59537,-0.007716349
3,-0.00125468,-0.00125468,-22.81544,-0.006471177
4,0,0,-30.40517,-0.006159587
5,0,-0.001525442,-38.00047,-0.009162679
6,0,-0.001275117,-11.43038,-0.006399728
7,0,-0.001262981,-19.01121,-0.00620737
8,0,-0.001273151,-22.80247,-0.00608294
9,0,-0.001285808,-30.42085,-0.005598004
10,0,-0.001110462,-49.39086,-0.005914974
11,0,-0.001883921,-41.89057,-0.006615807
12,0,-0.001265698,-19.16298,-0.006644134
13,0,-0.0008425225,-26.68859,-0.006179916
14,0,0,-15.24202,-0.005372503
15,0,-0.001272199,-30.44565,-0.008946953
16,0,-0.00126951,-30.87984,-0.007652378
17,0,-0.001532144,-30.42263,-0.007065567
18,0,-0.001280492,-57.0381,-0.01866325
19,0,-0.001245741,-38.13861,-0.01032266
20,0,-0.001113921,-30.46618,-0.005548215
21,0,-0.001275936,-53.28239,-0.02351803
22,0,-0.002480534,-60.85445,-0.01545176
23,0,-0.001855605,-39.68908,-0.01226701
24,0,-0.00127558,-38.1123,-0.015416
25,0,-0.002360289,-15.44496,-0.01772203
26,0,-0.001534329,-30.4754,-0.01348999
27,0,-0.001526047,-19.03033,-0.007716028
28,0,-0.001871726,-22.83319,-0.00778667
29,0,-0.001288191,-0.03037792,-0.005513793
30,0,-0.001801605,-19.10129,-0.00776501
31,0,-0.002914604,-15.30071,-0.01200296
32,0,-0.002208705,-7.635778,-0.007680684
33,0,-0.001219095,-11.47789,-0.008411688
34,0,0,-0.02738364,-0.005734955
35,0,-0.001298013,-15.21701,-0.006456783
36,0,0,-34.22271,-0.007441931
37,0,-0.001274498,-38.08754,-0.01063829
38,0,-0.001288733,-11.44065,-0.007120075
39,0,-0.001843252,-15.23277,-0.01079226
40,0,-0.001277867,-22.86948,-0.01414709
41,0,0,-34.23261,-0.01016261
42,0,-0.001279988,-15.24535,-0.0107255
43,0,-0.001510103,-38.03492,-0.01450289
44,0,-0.002864157,-26.63676,-0.009362557
45,0,-0.00185397,-19.06639,-0.01575228
46,0,-0.001506785,-49.45291,-0.01156208
47,0,-0.00182694,-15.23485,-0.008069855
48,0,-0.001512446,-19.03924,-0.00751443
49,0,-0.001470968,-30.42366,-0.006360633
50,0,-0.001269902,-26.60351,-0.007384408
51,0,-0.001491082,-26.6637,-0.007715083
52,0,0,-72.4097,-0.01780196
53,0,-0.001482106,-35.89682,-0.01441847
54,0,-0.001907314,-41.873,-0.01659231
55,0,-0.002336747,-72.20985,-0.02185157
56,0,-0.001290515,-26.63343,-0.0116502
57,0,-0.001283391,-7.683162,-0.008342347
58,0,0,-19.2571,-0.005335563
59,0,-0.001281027,-34.32075,-0.00700633
60,0,-0.001040083,-19.01734,-0.006657957
61,0,0,-0.05307925,-0.006824012
62,0,-0.00128493,-11.41139,-0.005797044
63,0,0,-15.23805,-0.005072326
64,0,-0.001269834,-7.646384,-0.005838914
65,0,-0.001255453,-19.07308,-0.007274451
66,0,-0.001267772,-15.25952,-0.006991853
67,0,-0.0007342178,-22.82829,-0.005756071
68,0,-0.001100938,-19.0294,-0.007105627
69,0,0,-53.20722,-0.009644442
70,0,-0.001095556,-34.24216,-0.0108243
71,0,-0.001098061,-41.83894,-0.007113888
72,0,-0.001280253,-72.19065,-0.007984914
73,0,-0.0009641041,-11.49992,-0.005399726
74,0,0,-22.9968,-0.006596942
75,0,-0.001506164,-7.699545,-0.0149422
76,0,0,-11.47557,-0.006626032
77,0,-0.001131309,-41.81025,-0.006262111
78,0,-0.0007295953,-26.72233,-0.007747673
79,0,-0.001520245,-0.06945483,-0.005428756
80,0,-0.0007304868,-7.610666,-0.003706712
81,0,0,-22.81106,-0.003788847
82,0,0,-3.87681,-0.004706095
83,0,-0.00127283,-15.31898,-0.005145197
84,0,-0.00127861,-3.941401,-0.006603756
85,0,0,-3.849837,-0.003171592
86,0,-0.0006258214,-14.13717,-0.006484403
87,0,-0.0006714466,-7.657802,-0.00348628
88,0,0,-26.60691,-0.008443624
