Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.004309777,0,-197.6088,-92.32137
2,-0.002873586,-0.002873586,-3.817441,-0.005543668
3,-0.002777052,-0.002777052,-11.40331,-0.003994194
4,-0.002777052,-0.002853675,-3.814977,-0.004344526
5,-0.002777052,-0.002790449,-7.607653,-0.004268349
6,-0.002163653,-0.002163653,-0.009077659,-0.004402551
7,-0.001122328,-0.001122328,-0.008334633,-0.003254944
8,-0.001112162,-0.001112162,-0.01244395,-0.005177669
9,-0.001112162,-0.001236756,-0.0175458,-0.002993884
10,-0.001112162,-0.001143691,-0.02828207,-0.005105064
11,-0.001112162,-0.001147715,-0.0240585,-0.003735741
12,-0.001112162,-0.001142771,-0.03073804,-0.005733517
13,-0.001112162,-0.00112694,-0.03376529,-0.01007357
14,-0.001112162,-0.00114177,-0.02934196,-0.005890499
15,-0.001112162,-0.001133191,-0.01985827,-0.008403004
16,-0.001112162,-0.001123185,-7.619089,-0.005820621
17,-0.001112162,-0.00150714,-0.0144836,-0.006471136
18,-0.001112162,-0.00113316,-3.82493,-0.005721312
19,-0.001093668,-0.001093668,-3.837891,-0.00442257
20,-0.001093668,-0.001130729,-22.82374,-0.005717359
21,-0.001093668,-0.001095345,-19.02748,-0.004675275
22,-0.001093668,-0.00113258,-19.01368,-0.006133632
23,-0.001093668,-0.001117288,-15.24883,-0.008498409
24,-0.001072418,-0.001072418,-22.83246,-0.005456768
25,-0.001063805,-0.001063805,-22.81398,-0.0069804
26,0,0,-15.22011,-0.006453462
27,0,-0.001251896,-3.824203,-0.00650952
28,0,0,-7.617874,-0.005638746
29,0,-0.001090813,-7.637878,-0.004412579
30,0,0,-19.02863,-0.003138132
31,0,0,-57.01964,-0.01156208
32,0,-0.001137337,-7.623065,-0.006486125
33,0,-0.001136966,-4.359839,-0.005719604
34,0,-0.001118406,-41.83664,-0.006377248
35,0,-0.001139121,-38.08765,-0.009476182
36,0,-0.001078266,-30.41558,-0.005640646
37,0,-0.00107708,-41.823,-0.01223686
38,0,-0.001136493,-38.01262,-0.003946233
39,0,-0.0011342,-22.81669,-0.00473465
40,0,0,-41.8286,-0.007944546
41,0,0,-64.60663,-0.006597967
42,0,0,-45.61703,-0.006892541
43,0,0,-38.0306,-0.01483306
44,0,0,-22.91276,-0.01230233
45,0,0,-26.61635,-0.007764608
46,0,-0.0007215409,-15.21734,-0.004996258
47,0,-0.0009834233,-26.64826,-0.006417601
48,0,0,-3.80679,-0.004036202
49,0,-0.001035101,-3.810583,-0.004291411
50,0,0,-0.01573771,-0.004372657
51,0,0,-7.617999,-0.006380376
52,0,0,-3.8113,-0.004818879
53,0,-0.001152536,-0.01739922,-0.00427237
54,0,-0.001095344,-0.02296941,-0.004670759
55,0,0,-0.01553363,-0.004292192
56,0,0,-7.622912,-0.005822696
57,0,-0.001148173,-0.02403627,-0.004078915
58,0,0,-0.0347331,-0.004506127
59,0,-0.001121576,-0.1155022,-0.01069087
60,0,0,-0.03057355,-0.004761696
61,0,-0.0007239082,-11.41545,-0.003861816
62,0,-0.001052979,-7.620543,-0.004440328
63,0,-0.001047289,-0.01159584,-0.005519177
64,0,-0.001042782,-0.007768252,-0.005735445
65,0,-0.0007189768,-3.803821,-0.003575334
66,0,0,-3.812507,-0.003750214
67,0,0,-3.811516,-0.005324565
68,0,0,-7.618641,-0.004728391
69,0,0,-0.02167831,-0.004223101
70,0,0,-11.42008,-0.004976941
71,0,0,-7.619476,-0.005228974
72,0,0,-15.21623,-0.003399553
73,0,0,-7.623795,-0.003227793
74,0,0,-26.61752,-0.004206464
75,0,0,-15.22109,-0.007623712
76,0,0,-19.02283,-0.006772178
77,0,0,-11.42391,-0.003151432
78,0,0,-19.01498,-0.003883579
79,0,0,-19.01741,-0.003882015
80,0,0,-34.23854,-0.006905131
81,0,0,-26.63388,-0.003771079
82,0,0,-34.25453,-0.003780651
83,0,0,-30.42756,-0.00681771
84,0,0,-22.08338,-0.003291791
85,0,0,-26.62894,-0.004458529
86,0,0,-17.54859,-0.004681414
87,0,0,-15.221,-0.003419457
88,0,0,-15.20945,-0.002988705
89,0,0,-7.61892,-0.004669609
90,0,0,-7.670938,-0.003510647
91,0,0,-15.25077,-0.003781803
92,0,0,-11.47151,-0.003629122
93,0,0,-14.49444,-0.003506462
94,0,0,-19.03334,-0.003129118
95,0,0,-15.21605,-0.00300024
96,0,0,-7.631982,-0.004223895
97,0,0,-22.84106,-0.004065314
98,0,0,-15.22044,-0.002926252
99,0,0,-7.618859,-0.003507847
100,0,0,-15.20327,-0.003653061
101,0,0,-26.62518,-0.005437399
102,0,0,-0.02493144,-0.003243332
103,0,0,-0.01305629,-0.002412078
104,0,0,-7.611753,-0.002567737
