Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.005768472,0,-186.5274,-81.54208
2,-0.001526348,-0.001526348,-79.8186,-0.01850967
3,0,0,-79.84426,-0.01756129
4,0,0,-15.23825,-0.005660672
5,0,0,-15.24075,-0.006513954
6,0,0,-19.07929,-0.005823878
7,0,0,-15.25724,-0.006045191
8,0,-0.0007257023,-38.07135,-0.01345583
9,0,-0.0009691383,-22.94429,-0.005561242
10,0,0,-0.02561781,-0.006538602
11,0,0,-7.61506,-0.004778518
12,0,0,-7.639064,-0.006334624
13,0,0,-3.827066,-0.005687675
14,0,0,-11.4203,-0.006757538
15,0,0,-7.866917,-0.005164964
16,0,0,-19.04915,-0.007696676
17,0,0,-3.827333,-0.005445948
18,0,-0.002301577,-72.20958,-0.02057594
19,0,0,-95.06785,-0.02106016
20,0,-0.001054845,-34.23679,-0.005536883
21,0,0,-26.61271,-0.0058634
22,0,-0.001259088,-22.86227,-0.007243143
23,0,-0.001270363,-15.23248,-0.007265811
24,0,0,-19.01484,-0.005038498
25,0,-0.001797064,-11.42589,-0.01026997
26,0,0,-0.03545521,-0.0127971
27,0,-0.0007269187,-3.839375,-0.01445817
28,0,0,-0.03344348,-0.006561348
29,0,0,-34.2366,-0.01414076
30,0,0,-22.84204,-0.007597553
31,0,-0.001167938,-7.614366,-0.005436995
32,0,0,-7.68948,-0.005450475
33,0,-0.0009586228,-3.824013,-0.006243212
34,0,-0.00113219,-3.817878,-0.004866388
35,0,0,-3.820405,-0.004706975
36,0,0,-3.815136,-0.005004022
37,0,0,-11.40816,-0.004581801
38,0,0,-3.814735,-0.00574409
39,0,0,-0.00799986,-0.004669368
40,0,0,-0.01644641,-0.004886487
41,0,0,-3.822223,-0.005410545
42,0,0,-3.810499,-0.004568926
43,0,-0.001063056,-0.01596083,-0.005163629
44,0,-0.0007261647,-15.20588,-0.004267622
45,0,-0.0007288308,-7.62405,-0.005149332
46,0,-0.001079773,-3.830173,-0.005820896
47,0,0,-7.618167,-0.005997824
48,0,-0.0006699646,-22.8386,-0.004933403
49,0,0,-19.01748,-0.00446214
50,0,0,-11.42596,-0.004376066
51,0,-0.0009656451,-3.814055,-0.004772958
52,0,0,-11.43372,-0.005297481
53,0,-0.001050387,-0.04663653,-0.007082234
54,0,-0.001069546,-64.61781,-0.01602695
55,0,-0.0008734076,-19.05188,-0.01167262
56,0,0,-0.02912549,-0.005179376
57,0,0,-11.42581,-0.005710217
58,0,-0.001058279,-3.838216,-0.00502557
59,0,-0.0008747553,-7.720701,-0.003869559
60,0,-0.001052713,-11.42756,-0.003484756
61,0,-0.0009602664,-15.22299,-0.006449419
62,0,-0.0008737415,-11.44325,-0.00412791
63,0,0,-15.3316,-0.003951211
64,0,-0.0009575675,-26.63547,-0.008289745
65,0,0,-22.81141,-0.003768999
66,0,-0.001187062,-3.822948,-0.004913318
67,0,0,-30.42478,-0.004488223
68,0,0,-7.611816,-0.003165889
69,0,0,-34.30877,-0.007101383
70,0,0,-30.41325,-0.004353228
71,0,0,-38.01276,-0.004406908
72,0,0,-26.61338,-0.004525749
73,0,0,-26.63314,-0.005712718
74,0,0,-15.21586,-0.004505488
75,0,0,-38.00947,-0.007612957
76,0,0,-49.41339,-0.008455249
77,0,0,-60.81041,-0.01505389
78,0,0,-45.79375,-0.01417326
79,0,0,-45.6093,-0.006455124
80,0,0,-38.0495,-0.004997039
81,0,0,-26.60518,-0.002870874
82,0,0,-60.86301,-0.006907548
83,0,-0.001051439,-95.01544,-0.02004554
84,0,0,-34.22401,-0.003866962
85,0,0,-0.09790163,-0.003416373
86,0,0,-3.821572,-0.004773021
87,0,0,-26.61374,-0.004489394
88,0,0,-22.81873,-0.004282785
89,0,0,-41.82432,-0.005787878
90,0,0,-15.22939,-0.004790089
91,0,0,-26.62373,-0.007119678
92,0,0,-15.28532,-0.006897392
93,0,0,-41.92607,-0.01069775
94,0,0,-53.24542,-0.009265332
95,0,0,-49.48139,-0.01034481
96,0,0,-45.62706,-0.006877835
97,0,0,-19.06939,-0.008780004
98,0,0,-30.45199,-0.006923664
99,0,0,-41.81289,-0.01219563
100,0,0,-34.23442,-0.01362566
101,0,0,-87.43342,-0.02421892
102,0,0,-3.81775,-0.003915823
103,0,0,-38.02615,-0.004665673
104,0,0,-30.40182,-0.004357003
105,0,0,-11.41941,-0.004096932
106,0,0,-7.612489,-0.002851119
107,0,0,-15.29895,-0.003528974
108,0,0,-15.21457,-0.003562158
109,0,0,-15.22144,-0.003940125
110,0,0,-7.617926,-0.004443307
111,0,0,-34.19525,-0.002297328
112,0,0,-34.32631,-0.003445596
113,0,0,-22.83907,-0.003084175
114,0,0,-22.8036,-0.003562188
115,0,0,-7.611557,-0.002549214
116,0,0,-0.01242427,-0.003036142
117,0,0,-7.629866,-0.004486007
118,0,0,-0.0177368,-0.003875284
119,0,0,-0.02362891,-0.005382958
120,0,0,-0.02064117,-0.004378314
121,0,0,-3.813249,-0.002813258
122,0,0,-3.810739,-0.00466347
123,0,0,-7.607983,-0.003031211
124,0,0,-3.810622,-0.00288234
125,0,0,-7.610924,-0.00273619
126,0,0,-15.20296,-0.003003803
127,0,0,-11.4046,-0.003346776
128,0,0,-3.807077,-0.003075897
129,0,0,-0.008031081,-0.002776427
130,0,0,-22.80901,-0.004119461
131,0,0,-3.809062,-0.003156322
132,0,0,-11.40873,-0.003433226
133,0,0,-0.01224402,-0.003831735
