Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.004298828,0,-180.7454,-86.86375
2,-0.001207992,-0.001207992,-34.24287,-0.009736586
3,0,0,-0.01306027,-0.003721646
4,0,0,-0.02271601,-0.003883564
5,0,0,-0.01597356,-0.003780662
6,0,0,-0.01278858,-0.003864723
7,0,0,-1.278847,-0.003665068
8,0,0,-0.01282515,-0.003654069
9,0,0,-1.284377,-0.003951331
10,0,0,-2.547943,-0.003632454
11,0,0,-1.28663,-0.004326476
12,0,0,-3.816243,-0.004060279
13,0,0,-0.02466977,-0.003625656
14,0,0,-1.285983,-0.004544894
15,0,0,-1.284534,-0.004425755
16,0,0,-3.820189,-0.004728632
17,0,0,-3.810265,-0.003707461
18,0,0,-2.549687,-0.004192276
19,0,0,-0.01803011,-0.00430631
20,0,0,-2.552098,-0.004683621
21,0,0,-1.288944,-0.006504224
22,0,0,-0.01692916,-0.004186466
23,0,0,-0.01807339,-0.004038019
24,0,0,-0.02184565,-0.005880843
25,0,0,-0.0270144,-0.005189389
26,0,0,-1.290116,-0.007123335
27,0,0,-1.292429,-0.006865271
28,0,0,-0.0215427,-0.004175069
29,0,0,-2.552438,-0.004207513
30,0,0,-0.0197303,-0.004412629
31,0,0,-1.287535,-0.005563147
32,0,0,-1.287416,-0.005035037
33,0,0,-0.02597459,-0.003719552
34,0,0,-3.816054,-0.00348471
35,0,0,-3.826743,-0.003675312
36,0,0,-0.03060615,-0.00343155
37,0,0,-2.552219,-0.004174258
38,0,0,-1.287641,-0.004112348
39,0,0,-2.553694,-0.004107762
40,0,0,-2.554366,-0.004387929
41,0,0,-6.354713,-0.007903956
42,0,0,-1.289012,-0.005086093
43,0,0,-1.291165,-0.005215336
44,0,0,-2.552664,-0.005616945
45,0,0,-5.0841,-0.004364586
46,0,0,-1.288905,-0.005379927
47,0,0,-6.350295,-0.004207599
48,0,0,-7.60898,-0.005540694
49,0,0,-3.816823,-0.004330981
50,0,0,-0.08492763,-0.004602611
51,0,0,-3.820234,-0.005460525
52,0,0,-3.820722,-0.005164726
53,0,0,-7.633393,-0.004023097
54,0,0,-2.553601,-0.003733294
55,0,0,-3.821556,-0.005505657
56,0,0,-5.0902,-0.009643859
57,0,0,-3.823849,-0.006665246
58,0,0,-5.093036,-0.004889082
59,0,0,-5.092763,-0.004325209
60,0,0,-2.555277,-0.005394218
61,0,0,-6.347163,-0.003703805
62,0,0,-5.098258,-0.00344346
63,0,0,-8.507334,-0.003787126
64,0,0,-5.085184,-0.003751157
65,0,0,-0.01919616,-0.003428758
66,0,0,-0.03215097,-0.003783189
67,0,0,-1.291876,-0.004689066
68,0,0,-3.821429,-0.003861087
69,0,0,-1.285991,-0.003822259
70,0,0,-2.557101,-0.004200982
71,0,0,-1.28863,-0.004773962
72,0,0,-3.819134,-0.004053089
73,0,0,-5.083457,-0.002942259
74,0,0,-7.621488,-0.003878569
75,0,0,-2.555109,-0.003843023
76,0,0,-2.604583,-0.004276901
77,0,0,-6.35024,-0.003985415
78,0,0,-7.618049,-0.004062114
79,0,0,-7.648741,-0.004225034
80,0,0,-11.4095,-0.003547105
81,0,0,-13.99789,-0.003942802
82,0,0,-5.092317,-0.003626563
83,0,0,-5.083286,-0.004034704
84,0,0,-6.354747,-0.003667976
85,0,0,-6.370926,-0.003352715
86,0,0,-5.083256,-0.003325596
87,0,0,-16.49181,-0.003887261
88,0,0,-11.41398,-0.00313247
89,0,0,-12.67207,-0.003263859
90,0,0,-7.622051,-0.00381949
91,0,0,-5.082278,-0.003864273
92,0,0,-5.093031,-0.004779165
93,0,0,-3.81798,-0.003457847
94,0,0,-3.823461,-0.004232667
95,0,0,-6.349525,-0.00331522
96,0,0,-5.083482,-0.004146249
97,0,0,-6.362465,-0.004047111
98,0,0,-7.619225,-0.004282172
99,0,0,-6.355749,-0.004695558
100,0,0,-2.55241,-0.004300131
101,0,0,-7.637258,-0.003018509
102,0,0,-2.545373,-0.001806851
103,0,0,-1.282343,-0.002145098
104,0,0,-1.274104,-0.001740766
105,0,0,-1.277524,-0.001573592
106,0,0,-0.008597062,-0.00147548
107,0,0,-1.276974,-0.001919263
108,0,0,-0.03405477,-0.002104245
109,0,0,-0.009655949,-0.001664378
110,0,0,-1.278413,-0.001642157
111,0,0,-2.548487,-0.001808067
112,0,0,-1.275587,-0.002120042
113,0,0,-0.009958634,-0.001489504
114,0,0,-2.546422,-0.002326097
115,0,0,-1.277503,-0.002172269
