Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.003109262,0,-224.899,-134.6595
2,-0.002922188,-0.002922188,-26.61465,-0.008605818
3,-0.00286539,-0.00286539,-11.41639,-0.006610041
4,-0.002848316,-0.002848316,-11.42662,-0.005276712
5,-0.002767722,-0.002767722,-11.41866,-0.007157739
6,-0.002586091,-0.002586091,-7.624269,-0.00474339
7,-0.0006220124,-0.0006220124,-19.01853,-0.007797624
8,0,0,-38.01443,-0.006769359
9,0,0,-53.228,-0.006367648
10,0,0,-64.62095,-0.009351945
11,0,-0.0007292728,-41.81867,-0.007365778
12,0,-0.0008589847,-34.24015,-0.01024477
13,0,0,-60.92226,-0.006512926
14,0,0,-79.80103,-0.008565683
15,0,0,-76.01809,-0.01829516
16,0,-0.0009874291,-64.61155,-0.005906805
17,0,0,-68.4189,-0.007695871
18,0,-0.001124383,-19.04194,-0.005064271
19,0,-0.001216049,-41.83557,-0.02120617
20,0,0,-53.21802,-0.009197399
21,0,0,-57.01328,-0.004777626
22,0,0,-26.61151,-0.004405794
23,0,0,-41.06392,-0.004992234
24,0,0,-41.82521,-0.005968851
25,0,0,-110.3302,-0.02558416
26,0,-0.001250291,-45.61204,-0.004843057
27,0,0,-45.61171,-0.005408646
28,0,0,-38.01247,-0.005119835
29,0,-0.00111191,-53.21135,-0.01122846
30,0,0,-53.21407,-0.01334025
31,0,0,-79.80497,-0.01186019
32,0,-0.001243514,-41.82322,-0.02098995
33,0,-0.0007234254,-38.00264,-0.005233754
34,0,0,-72.21344,-0.01448769
35,0,0,-19.01952,-0.007326325
36,0,-0.0009710379,-11.41747,-0.006372388
37,0,-0.001259306,-11.41079,-0.004770685
38,0,-0.0007187007,-7.617388,-0.004540282
39,0,-0.001086517,-11.41669,-0.004471871
40,0,0,-0.03521758,-0.004217949
41,0,-0.0007239591,-0.01768228,-0.003501821
42,0,-0.001092422,-0.08139004,-0.008083286
43,0,-0.001071376,-15.22922,-0.01018518
44,0,0,-10.68378,-0.006213476
45,0,0,-15.217,-0.006168391
46,0,0,-11.43489,-0.01121232
47,0,0,-26.61391,-0.009499738
48,0,0,-19.07632,-0.005655918
49,0,0,-3.834648,-0.004715537
50,0,0,-19.07903,-0.01226089
51,0,0,-30.44614,-0.0071403
52,0,0,-3.830422,-0.008159681
53,0,0,-7.630575,-0.008184315
54,0,-0.001067236,-0.03865128,-0.005917598
55,0,0,-0.02180701,-0.003273404
56,0,0,-0.02662399,-0.004428911
57,0,-0.001392061,-3.841074,-0.01511276
58,0,-0.0009548927,-11.43268,-0.01339211
59,0,-0.0009425372,-0.02896089,-0.004963534
60,0,-0.001134659,-0.01826225,-0.00408413
61,0,-0.0009529155,-0.02685567,-0.004141631
62,0,-0.001038893,-0.02368945,-0.003809956
63,0,-0.0009553103,-0.02525929,-0.004070882
64,0,0,-0.02301142,-0.003491387
65,0,0,-0.01760109,-0.003161442
66,0,0,-0.03018261,-0.005251023
67,0,0,-3.826061,-0.004662399
68,0,0,-0.03473324,-0.007320549
69,0,0,-7.63378,-0.01096017
70,0,0,-0.06452177,-0.01695127
71,0,0,-0.04583766,-0.01596476
72,0,0,-0.03219105,-0.005114368
73,0,0,-0.03630769,-0.01094714
74,0,0,-3.833254,-0.00982121
75,0,0,-7.622934,-0.00901942
76,0,0,-0.02009752,-0.00392147
77,0,0,-0.0238487,-0.004261093
78,0,0,-0.02438824,-0.005338118
79,0,0,-3.832513,-0.01042025
80,0,0,-3.823066,-0.00556198
81,0,0,-3.833046,-0.004284388
82,0,0,-3.828017,-0.004346514
83,0,0,-0.01371986,-0.003537941
84,0,0,-0.03197672,-0.004218198
85,0,0,-3.823588,-0.004334005
86,0,0,-3.824244,-0.004732262
87,0,0,-0.04171484,-0.007842691
88,0,0,-0.02426011,-0.004896479
89,0,0,-0.02741763,-0.007123122
90,0,0,-3.826277,-0.00713663
91,0,0,-0.02636025,-0.004090281
92,0,0,-3.854895,-0.01436226
93,0,0,-0.02519306,-0.004129658
94,0,-0.0008734259,-7.629077,-0.005711678
95,0,0,-0.02589191,-0.003697164
96,0,0,-3.821043,-0.003736295
97,0,0,-3.822605,-0.003478074
98,0,0,-3.819881,-0.003579149
99,0,0,-0.01909997,-0.003749132
100,0,0,-0.04201035,-0.01365907
101,0,0,-0.03320885,-0.009102749
102,0,0,-0.01261629,-0.002294616
103,0,0,-0.01306301,-0.002958674
104,0,0,-3.824398,-0.004338247
105,0,0,-0.01661784,-0.002903436
106,0,0,-0.01731128,-0.002962627
107,0,0,-7.620675,-0.004500554
108,0,0,-0.01411305,-0.003369542
