Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.008335273,0,-172.9112,-70.56744
2,-0.003099444,-0.003099444,-3.832745,-0.01284771
3,-0.003007432,-0.003007432,-3.821368,-0.005909254
4,-0.002816021,-0.002816021,-0.01541586,-0.004990072
5,-0.002816021,-0.002826812,-3.813955,-0.005426187
6,-0.002816021,-0.002824856,-3.813968,-0.005980085
7,-0.002802673,-0.002802673,-3.814481,-0.004843059
8,-0.002775734,-0.002775734,-3.810143,-0.004814205
9,-0.002775734,-0.002802686,-3.811768,-0.004670506
10,-0.002775734,-0.002816197,-7.608808,-0.006128782
11,-0.002775734,-0.002785809,-0.01501495,-0.005959268
12,-0.002775734,-0.002825101,-3.811429,-0.005972557
13,-0.002213962,-0.002213962,-0.01180726,-0.005809334
14,-0.002210022,-0.002210022,-7.621783,-0.006366723
15,-0.002191558,-0.002191558,-3.84167,-0.01392808
16,-0.002191558,-0.002798303,-3.836584,-0.0126384
17,-0.002191558,-0.002777213,-3.826932,-0.006293149
18,-0.002191558,-0.00276592,-3.831887,-0.007103232
19,-0.002191558,-0.002395275,-0.03411062,-0.009666206
20,-0.002191558,-0.002767366,-0.02668256,-0.006679177
21,-0.001231074,-0.001231074,-0.01316919,-0.005234398
22,-0.001231074,-0.002242589,-0.0131913,-0.005320199
23,-0.001228924,-0.001228924,-0.007375408,-0.004522562
24,-0.001216599,-0.001216599,-0.009678817,-0.004698979
25,-0.001216599,-0.001429024,-3.812773,-0.004123248
26,-0.0006693719,-0.0006693719,-0.0116991,-0.003734638
27,-0.0005540432,-0.0005540432,-0.01349173,-0.00304631
28,-0.0005540432,-0.0009384552,-0.01960893,-0.004388893
29,-0.0005540432,-0.0008687691,-0.02481551,-0.008518909
30,-0.0005540432,-0.0008553286,-0.02934266,-0.008083758
31,-0.0005540432,-0.0006958419,-0.03241162,-0.01251948
32,-0.0005540432,-0.0005631166,-0.02146672,-0.003416116
33,-0.0005540432,-0.0008467608,-0.03327359,-0.01105142
34,-0.0004745245,-0.0004745245,-0.02289154,-0.003689049
35,-0.0004745245,-0.0007184805,-0.01994038,-0.003586278
36,-0.0004745245,-0.0005653274,-0.02199267,-0.003768345
37,0,0,-0.0267012,-0.00438296
38,0,-0.0005258822,-0.02789307,-0.004294752
39,0,-0.0004500459,-0.02120125,-0.00355343
40,0,-0.0004489761,-0.03141126,-0.005937911
41,0,-0.0003790903,-0.0218614,-0.003233017
42,0,-0.0004576558,-0.01714159,-0.003927868
43,0,-0.0006826611,-0.01488867,-0.002940549
44,0,-0.0005362895,-0.01329098,-0.003639764
45,0,-0.0006107714,-0.00761263,-0.002817788
46,0,-0.0008736727,-0.0202004,-0.003225265
47,0,-0.0004361303,-0.01535125,-0.003434222
48,0,-0.0004710339,-0.01500394,-0.002876438
49,0,-0.0004537225,-0.0107304,-0.003040001
50,0,-0.0008662213,-0.01041288,-0.005027527
51,0,-0.0004309237,-0.01265986,-0.002540299
52,0,-0.0004981536,-0.01808698,-0.003511098
53,0,-0.000506243,-0.01609602,-0.002728131
54,0,-0.0004464656,-0.02052012,-0.002938029
55,0,-0.0005316171,-0.01714257,-0.003525821
56,0,-0.0004598582,-0.01724051,-0.003088203
57,0,-0.0005106519,-0.01867113,-0.003634119
58,0,-0.0004564958,-0.01819193,-0.002698567
59,0,-0.0005318448,-0.01772879,-0.002431101
60,0,-0.0004728922,-0.01540418,-0.003161394
61,0,-0.0008590326,-0.01845648,-0.003619597
62,0,-0.0009517812,-0.02150475,-0.005707012
63,0,-0.0008588581,-0.01631708,-0.005820022
64,0,-0.0004656315,-0.01385277,-0.003625723
65,0,-0.0004481921,-0.01296516,-0.002216366
66,0,-0.0005462276,-0.01582227,-0.002673531
67,0,-0.0009434369,-0.01863261,-0.004701277
68,0,0,-0.01447688,-0.002269086
69,0,-0.000430617,-0.01594634,-0.003717188
70,0,-0.000536147,-0.01087694,-0.001992402
71,0,-0.0005375709,-0.01112871,-0.002409507
72,0,-0.0004304048,-0.01419062,-0.002813151
73,0,-0.0004412187,-0.0110359,-0.00227483
74,0,-0.000508581,-0.01127676,-0.002417691
75,0,-0.0004789614,-0.01025892,-0.002351638
76,0,-0.0004861809,-0.01870384,-0.003191463
77,0,-0.0005308939,-0.009959462,-0.0025251
78,0,-0.0006853712,-0.01449525,-0.002660629
79,0,-0.0005395347,-0.01500808,-0.00306869
80,0,-0.0004723898,-0.01259705,-0.002582957
81,0,-0.0008670185,-0.01281063,-0.002617065
