Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.01020378,0,-199.2737,-103.1691
2,-0.001827231,-0.001827231,-26.63234,-0.0305353
3,-0.001827231,-0.002209421,-45.61619,-0.01449206
4,-0.001057349,-0.001057349,-30.40493,-0.005815368
5,-0.0008766918,-0.0008766918,-7.614218,-0.005049032
6,-0.0008766918,-0.001067456,-38.00278,-0.004994584
7,-0.0007394543,-0.0007394543,-22.81593,-0.005263415
8,-0.0004592148,-0.0004592148,-22.80701,-0.004503717
9,-0.0004592148,-0.0007214244,-11.41013,-0.00304715
10,-0.0004592148,-0.0009569045,-15.27695,-0.004578906
11,-0.0004592148,-0.0004654599,-19.0163,-0.00543504
12,-0.0004592148,-0.000539907,-11.41554,-0.004766449
13,-0.0004592148,-0.000478898,-11.4114,-0.003579233
14,-0.0004592148,-0.0007366601,-7.616187,-0.003724178
15,-0.0004592148,-0.0005480327,-7.613061,-0.003162146
16,-0.0004592148,-0.0005538668,-3.817155,-0.00448778
17,-0.0004592148,-0.0005056388,-11.40966,-0.003761169
18,-0.0004325389,-0.0004325389,-11.45591,-0.003223222
19,-0.0004325389,-0.0004768193,-0.015009,-0.003017518
20,-0.0004325389,-0.0004984217,-0.01605344,-0.002717933
21,-0.0004325389,-0.0005068468,-0.04009737,-0.002755382
22,-0.0004325389,-0.0006722371,-15.20611,-0.002998324
23,0,0,-7.613913,-0.002379673
24,0,-0.00047578,-3.815458,-0.003185043
25,0,-0.0004321593,-0.0177205,-0.002738027
26,0,-0.0007228554,-15.20669,-0.003286185
27,0,-0.0004146147,-3.815855,-0.003303415
28,0,-0.0006821659,-7.633227,-0.003104111
29,0,-0.0007187273,-0.0211181,-0.004888357
30,0,-0.0006676015,-15.2173,-0.004440698
31,0,-0.0005437154,-11.41993,-0.005261035
32,0,-0.0005673302,-7.615557,-0.004073104
33,0,-0.0007345798,-3.820184,-0.003429631
34,0,-0.0007120913,-0.02222188,-0.004073644
35,0,-0.0009351581,-0.02780711,-0.005704412
36,0,-0.0005055985,-3.824905,-0.003499954
37,0,-0.0007154301,-11.41484,-0.004596534
38,0,-0.0004336991,-7.617644,-0.003169104
39,0,-0.00053046,-11.41397,-0.003389271
40,0,-0.0005523435,-15.22729,-0.003625029
41,0,-0.0005148423,-19.01446,-0.005532295
42,0,-0.0006094292,-11.41915,-0.003088951
43,0,-0.000413368,-7.644663,-0.006009527
44,0,-0.0005669674,-7.61804,-0.004101874
45,0,-0.0006877593,-15.21881,-0.007180943
46,0,-0.0005606146,-19.02088,-0.004861102
47,0,-0.0004476786,-15.21239,-0.003976713
48,0,-0.0005859,-11.41484,-0.00359453
49,0,-0.0005303152,-3.838515,-0.005239524
50,0,-0.0004562928,-0.0201526,-0.003365599
51,0,-0.0005774811,-11.42247,-0.005423387
52,0,-0.0007161798,-7.745769,-0.004930172
53,0,-0.0004139832,-7.617784,-0.004162099
54,0,-0.0006337715,-7.628305,-0.00553412
55,0,-0.0004315999,-7.620531,-0.004095899
56,0,-0.000449487,-0.01915737,-0.003457453
57,0,-0.0009386474,-3.821146,-0.005145974
58,0,-0.0005482232,-3.820259,-0.003869124
59,0,-0.0004753423,-15.21648,-0.004785307
60,0,-0.0005422444,-7.626143,-0.004670742
61,0,-0.0005456835,-11.42789,-0.004512321
62,0,-0.0006978049,-15.22437,-0.008593765
63,0,-0.0004481093,-15.21447,-0.003734901
64,0,-0.0007263194,-7.615325,-0.003057064
65,0,-0.0005674876,-0.0144504,-0.002151975
66,0,-0.0005372868,-7.613275,-0.00243944
67,0,-0.0004311556,-3.816488,-0.003663751
68,0,-0.0004113056,-7.617151,-0.004291815
69,0,-0.0009398772,-0.03307554,-0.004972215
70,0,-0.0004378203,-0.01867559,-0.003337919
71,0,-0.0005425756,-3.813617,-0.002446379
72,0,-0.0004730612,-0.02434161,-0.003147747
73,0,-0.0005797561,-0.01325314,-0.0031739
74,0,-0.0004307799,-0.02029534,-0.002736954
