Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.008239675,0,-205.9935,-119.504
2,-0.001031084,-0.001031084,-0.02511397,-0.006006031
3,-0.001031084,-0.001053247,-7.680826,-0.005846513
4,-0.0009456502,-0.0009456502,-11.41416,-0.003397474
5,-0.0009456502,-0.0009518105,-3.819002,-0.004182621
6,-0.0009456502,-0.001016048,-3.854601,-0.004059217
7,-0.0009456502,-0.001027077,-0.03156407,-0.006663433
8,-0.0009456502,-0.001037389,-3.837105,-0.005711958
9,-0.0009456502,-0.001009533,-22.83424,-0.006256349
10,-0.0009456502,-0.001043513,-11.40623,-0.004446145
11,-0.0008755301,-0.0008755301,-15.21376,-0.004045433
12,-0.0008717229,-0.0008717229,-22.81651,-0.004034518
13,-0.0008717229,-0.0009483175,-11.41122,-0.003456334
14,-0.0008717229,-0.0009661455,-7.61137,-0.003691283
15,-0.0008717229,-0.001007691,-11.40534,-0.004509978
16,-0.0008717229,-0.001013163,-7.617307,-0.005167329
17,-0.0008717229,-0.001065114,-15.21276,-0.003931107
18,-0.0008717229,-0.001014252,-26.62038,-0.003979797
19,-0.0008717229,-0.001013722,-11.42991,-0.003181704
20,-0.0007356163,-0.0007356163,-19.00771,-0.00319409
21,-0.0007356163,-0.001049943,-19.00999,-0.003295744
22,-0.0007356163,-0.0009587388,-22.81973,-0.003752875
23,-0.0007356163,-0.0009200337,-19.06017,-0.00460999
24,-0.0007356163,-0.0009244842,-7.620052,-0.002533614
25,-0.0007356163,-0.0009451246,-0.02907224,-0.003198591
26,-0.0007356163,-0.0009227305,-3.84444,-0.00303443
27,-0.0007356163,-0.0009637845,-7.613722,-0.003138631
28,-0.0007356163,-0.0009220683,-7.612357,-0.003423103
29,-0.0007356163,-0.001048238,-7.620311,-0.003870141
30,-0.0007356163,-0.0009427934,-0.01038488,-0.003400069
31,-0.0007356163,-0.0009686939,-3.871344,-0.002905058
32,-0.0005960293,-0.0005960293,-7.607435,-0.003070466
33,-0.0004336439,-0.0004336439,-11.412,-0.002922046
34,-0.0004336439,-0.0009707235,-3.815971,-0.003045325
35,-0.0004336439,-0.0009578023,-7.61244,-0.003855259
36,-0.0004336439,-0.0008616603,-0.005784003,-0.00255868
37,-0.0004336439,-0.0006280747,-0.01496654,-0.002596197
38,-0.0004336439,-0.001055815,-7.610611,-0.003828136
39,-0.0004336439,-0.00104104,-3.812228,-0.003463023
40,-0.0004336439,-0.0005717708,-7.618533,-0.003795792
41,-0.0004336439,-0.0004569333,-7.630676,-0.004080915
42,-0.0004336439,-0.0008810444,-11.44458,-0.003762299
43,-0.0004336439,-0.0009474774,-34.22015,-0.004420289
44,-0.0004336439,-0.0006012486,-26.61463,-0.003861335
45,-0.0004336439,-0.00088118,-19.03263,-0.004476248
46,-0.0004336439,-0.000866659,-15.22344,-0.003625247
47,-0.0004336439,-0.0009670837,-19.02793,-0.004307231
48,-0.0004336439,-0.0006156986,-7.623831,-0.003321736
49,-0.0004336439,-0.0009694451,-19.02929,-0.005032585
50,-0.0004336439,-0.0008803204,-19.03129,-0.005979705
51,-0.0004336439,-0.00105494,-3.819793,-0.004824883
52,-0.0004336439,-0.001057744,-22.85102,-0.004507221
53,-0.0004336439,-0.0008821992,-3.815068,-0.003801215
54,-0.0004336439,-0.0009332352,-15.22407,-0.003868152
55,-0.0004336439,-0.0009398201,-11.41139,-0.004159603
56,-0.0004336439,-0.000966057,-0.01361839,-0.004207295
57,-0.0004336439,-0.0009618349,-7.606265,-0.003581846
58,-0.0004336439,-0.0009143507,-22.8064,-0.003227359
59,-0.0004336439,-0.001041701,-15.20877,-0.002890777
60,-0.0004336439,-0.0009106071,-11.40904,-0.00311609
61,-0.0004336439,-0.0006004265,-45.61313,-0.003900419
62,-0.0004336439,-0.0009629339,-3.809498,-0.004114288
63,-0.0004336439,-0.0007211326,-26.61535,-0.003399914
64,-0.0004336439,-0.0005652145,-18.99883,-0.003471236
65,-0.0004336439,-0.000964275,-26.61156,-0.003064903
66,-0.0004336439,-0.0009686308,-11.41697,-0.002722165
67,-0.0004336439,-0.0009588657,-15.2659,-0.003742845
68,-0.0004336439,-0.0009483809,-11.41857,-0.003393599
69,-0.0004336439,-0.0005436786,-26.60182,-0.003764956
70,-0.0004336439,-0.00106214,-0.012272,-0.003431895
71,-0.0004336439,-0.001007454,-19.01118,-0.003200165
72,-0.0004336439,-0.001034452,-7.609903,-0.002915459
73,-0.0004336439,-0.001011532,-11.41278,-0.003664703
74,-0.0004336439,-0.0009841206,-22.81289,-0.004125682
75,-0.0004336439,-0.001049705,-7.607652,-0.004263336
76,-0.0004336439,-0.001061083,-7.620585,-0.005368575
77,-0.0004336439,-0.001044733,-11.40386,-0.005583497
78,-0.0004336439,-0.0008656715,-3.812853,-0.003977545
79,-0.0004336439,-0.0009866554,-15.21305,-0.003798566
80,-0.0004336439,-0.0009661072,-34.2099,-0.005243228
81,-0.0004336439,-0.0008604364,-34.20848,-0.004356173
82,-0.0004336439,-0.0008567801,-26.60088,-0.004394542
83,-0.0004336439,-0.0009406906,-57.24735,-0.004780695
84,-0.0004336439,-0.0008726874,-41.87537,-0.003909628
85,-0.0004336439,-0.0009175004,-57.0031,-0.005828832
86,-0.0004336439,-0.0009525595,-64.61631,-0.00697888
87,-0.0004336439,-0.0009561933,-76.09494,-0.01462616
88,-0.0004336439,-0.0008716969,-57.05628,-0.005709041
89,-0.0004336439,-0.0009941597,-26.60883,-0.003745257
90,-0.0004336439,-0.0008645031,-64.63823,-0.00603411
91,-0.0004336439,-0.0008528926,-38.0161,-0.00395278
