Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.004244804,0,-224.7605,-136.1586
2,-0.00225639,-0.00225639,-15.20574,-0.005820356
3,-0.0007316211,-0.0007316211,-11.43598,-0.01984136
4,-0.0007316211,-0.0015453,-19.03663,-0.02565041
5,-0.0007316211,-0.002333717,-26.68037,-0.03147916
6,-0.0007316211,-0.001520946,-19.04199,-0.01883574
7,-0.0006300136,-0.0006300136,-7.661883,-0.008469232
8,-0.0006300136,-0.001272054,-7.629185,-0.01108854
9,-0.0006300136,-0.001282737,-3.833239,-0.007318774
10,-0.0006260601,-0.0006260601,-7.641722,-0.01725792
11,-0.0006230628,-0.0006230628,-3.84337,-0.01380643
12,-0.0006230628,-0.0006284088,-11.44373,-0.0114513
13,-0.0006230628,-0.0006232671,-3.830278,-0.005568926
14,-0.0005128616,-0.0005128616,-7.640698,-0.00664902
15,-0.0005128616,-0.000587268,-7.62891,-0.006579062
16,-0.0005128616,-0.0006252548,-15.22793,-0.006130483
17,-0.0005128616,-0.0007311626,-26.65629,-0.01300829
18,-0.0005128616,-0.0005902296,-11.41749,-0.005008971
19,-0.0005128616,-0.001058001,-30.42369,-0.01215752
20,0,0,-11.41649,-0.004009
21,0,-0.0007286114,-11.42557,-0.004069986
22,0,-0.0005539836,-15.22859,-0.005385378
23,0,-0.0007325594,-19.02594,-0.003872204
24,0,-0.0008613104,-19.0313,-0.004360534
25,0,-0.0006857005,-11.41849,-0.002327056
26,0,-0.0006072134,-3.822966,-0.002982098
27,0,-0.0005392571,-11.42957,-0.003446695
28,0,-0.0004523161,-15.22015,-0.003831855
29,0,-0.0004507931,-11.41596,-0.003392597
30,0,-0.000580587,-30.43155,-0.003522867
31,0,-0.0006405635,-26.63611,-0.007761461
32,0,-0.0009205924,-7.632776,-0.003982621
33,0,-0.0009493072,-22.85843,-0.009864453
34,0,-0.0009513797,-19.0636,-0.008847198
35,0,-0.0008614891,-30.43102,-0.007720697
36,0,-0.0008703349,-11.43183,-0.004929494
37,0,-0.0006686916,-22.82671,-0.002588925
38,0,-0.0005456082,-22.8105,-0.003360699
39,0,-0.0004846202,-15.21615,-0.003089807
40,0,-0.0008793401,-22.81285,-0.003123707
41,0,-0.0004146316,-34.21042,-0.002510321
42,0,-0.0008629246,-41.81806,-0.003529545
43,0,-0.0009417918,-53.24313,-0.01343054
44,0,-0.0004684665,-34.21578,-0.003301882
45,0,-0.0008711686,-26.62499,-0.004588372
46,0,-0.0004628575,-57.01368,-0.008018582
47,0,-0.0009423239,-57.0151,-0.006457997
48,0,-0.0006344715,-30.42679,-0.003691661
49,0,-0.0008711389,-38.01931,-0.005154995
50,0,-0.0005615174,-19.02571,-0.004042006
51,0,-0.0007352451,-26.62522,-0.002406939
52,0,-0.0004863931,-15.2107,-0.002533303
53,0,-0.000865246,-30.42167,-0.004067737
54,0,-0.0008751809,-49.41755,-0.003899953
55,0,-0.0005696243,-53.25216,-0.003963131
56,0,-0.0004326761,-26.64581,-0.003351233
57,0,-0.0004811407,-30.4272,-0.005420439
58,0,-0.0004153283,-15.24422,-0.00511117
59,0,-0.0005395982,-11.44869,-0.003410521
60,0,-0.000876905,-7.611933,-0.002650657
61,0,-0.0004800118,-22.83706,-0.002711499
62,0,-0.0004537491,-15.23447,-0.002424502
63,0,-0.0006397018,-26.62171,-0.004522109
64,0,-0.0004516986,-15.22498,-0.002627211
65,0,-0.0006596619,-19.01127,-0.003025881
66,0,-0.0004508797,-0.1137294,-0.002770215
67,0,-0.0004374689,-19.02955,-0.002851603
68,0,-0.0008811597,-15.21231,-0.004070485
69,0,-0.0006630066,-11.41564,-0.003229358
70,0,-0.0006196837,-19.00479,-0.002549116
71,0,-0.000466118,-22.82248,-0.002435149
72,0,-0.0006795665,-3.829713,-0.003409216
73,0,-0.000568438,-7.630733,-0.005229508
74,0,-0.0005643747,-11.41316,-0.002992895
75,0,-0.0008530946,-0.00865361,-0.002709337
76,0,-0.0004513587,-11.4059,-0.002837662
77,0,-0.0005108022,-11.40993,-0.002200164
78,0,-0.0004614389,-7.614017,-0.002665576
79,0,-0.0006088085,-11.40915,-0.003456218
80,0,-0.0004503132,-3.821117,-0.002907615
81,0,-0.0004492177,-0.04881448,-0.0209562
82,0,-0.0006993207,-7.632187,-0.008519603
83,0,-0.0005355357,-0.02832238,-0.002477198
84,0,-0.0006988418,-3.823684,-0.002763943
85,0,-0.0007239828,-19.02306,-0.005776362
86,0,-0.0005117527,-7.626906,-0.003630546
87,0,-0.0005895603,-0.03290107,-0.008694018
88,0,-0.000630921,-0.02318369,-0.00341379
89,0,-0.0008619474,-0.02170289,-0.003359583
90,0,-0.0006280676,-30.41436,-0.01093566
91,0,-0.0005652671,-15.22447,-0.004587733
92,0,-0.0004603179,-19.01503,-0.002925617
93,0,-0.0005932887,-7.615121,-0.002414835
94,0,-0.0007384494,-3.82963,-0.007768272
95,0,-0.0006118483,-7.627773,-0.01012571
96,0,-0.0004500234,-3.82359,-0.003501859
97,0,-0.0004748894,-7.626816,-0.003332222
98,0,-0.0004176215,-3.82872,-0.003649727
99,0,-0.0004134172,-22.80403,-0.002801231
100,0,-0.0006013805,-45.60919,-0.003741708
101,0,-0.000451664,-26.60398,-0.002231573
102,0,-0.0009440346,-0.008570822,-0.002718244
103,0,-0.0005683494,-3.808209,-0.002150034
104,0,-0.000613837,-7.607269,-0.001779556
105,0,-0.0007233853,-0.006156722,-0.00205945
106,0,-0.0005250602,-0.009336806,-0.002535886
107,0,-0.0005318997,-3.812449,-0.002261707
108,0,-0.0006130561,-3.805319,-0.002127412
109,0,-0.0004480108,-7.611826,-0.001984406
110,0,-0.0006607941,-3.814142,-0.00230359
111,0,-0.0004493516,-3.811515,-0.002583413
112,0,-0.0004316164,-0.01157536,-0.002056427
113,0,-0.0004114202,-0.01107135,-0.00166392
114,0,-0.0004497411,-7.61211,-0.001973315
115,0,-0.0006336732,-3.808575,-0.002254269
116,0,-0.0005405693,-11.41074,-0.00244823
117,0,-0.0006069635,-0.008889202,-0.002196434
118,0,0,-3.808654,-0.001600038
119,0,-0.0004479595,-3.804387,-0.001717187
120,0,-0.0005989116,-26.59682,-0.003112642
121,0,-0.0006115947,-18.99835,-0.00258408
122,0,-0.0004133694,-49.39461,-0.002831638
123,0,-0.0003631054,-22.80335,-0.002118522
124,0,-0.000432401,-0.005366493,-0.001600496
125,0,0,-11.40907,-0.001440512
126,0,-0.0004502583,-0.005239396,-0.001848993
127,0,-0.0004491698,-15.20059,-0.002020626
128,0,-0.0004522763,-3.802282,-0.001781332
129,0,-0.0003800323,-3.807945,-0.001866038
130,0,-0.0006327534,-0.0117197,-0.001746207
131,0,-0.0006699656,-3.803518,-0.001914008
132,0,-0.0004319816,-7.602982,-0.001893595
133,0,-0.0004144569,-11.39847,-0.001455849
134,0,-0.0004489597,-34.19885,-0.002554968
135,0,-0.0004138556,-15.21115,-0.00206153
136,0,-0.000450543,-22.79809,-0.002471907
137,0,-0.0004500769,-30.3919,-0.002681406
138,0,-0.0004337141,-41.792,-0.002203779
139,0,-0.0005406818,-60.78694,-0.002946186
140,0,-0.0004487464,-64.58239,-0.002275776
141,0,-0.0005098812,-45.59712,-0.002124716
142,0,-0.0005217486,-41.79786,-0.002213154
143,0,-0.0007326094,-79.78511,-0.00300703
144,0,-0.0004821184,-64.58905,-0.002163769
145,0,-0.0006628547,-68.39629,-0.003229292
146,0,-0.0005679728,-49.38364,-0.001989737
147,0,-0.0004619135,-34.19978,-0.002160276
148,0,-0.0005391399,-68.44308,-0.00260582
149,0,-0.0004364261,-41.79764,-0.002351268
150,0,-0.0004521849,-45.59639,-0.002249439
151,0,-0.0008607796,-11.40444,-0.002260628
152,0,-0.0005805633,-15.2031,-0.001600987
153,0,-0.0004498325,-15.20784,-0.001881493
154,0,-0.0004316292,-37.99619,-0.002022171
155,0,0,-34.1957,-0.001770532
156,0,-0.0004333095,-30.39152,-0.002037473
157,0,-0.0004312439,-7.607985,-0.00209638
158,0,-0.0004286158,-11.40113,-0.001750815
159,0,-0.0004758582,-30.4019,-0.00194082
160,0,-0.0004250427,-22.79851,-0.002088575
161,0,-0.0007435802,-22.80593,-0.002216452
162,0,0,-30.39816,-0.001952173
163,0,-0.0005568979,-22.79984,-0.002025719
164,0,-0.000448381,-41.80066,-0.00217582
165,0,-0.0004498445,-37.99144,-0.002866119
166,0,-0.0006116213,-56.9879,-0.002209082
167,0,-0.0004488489,-41.80013,-0.002248325
168,0,-0.0004484562,-53.20431,-0.002827553
169,0,-0.0006128688,-98.78624,-0.003776404
170,0,-0.0009597742,-106.4064,-0.005218547
171,0,-0.0004326731,-49.41125,-0.002929599
172,0,-0.0004495049,-18.9965,-0.002254728
173,0,-0.0005412092,-7.60422,-0.00153297
174,0,-0.0007362906,-3.807389,-0.001651799
175,0,-0.0003822187,-7.610729,-0.001980266
176,0,-0.0005641038,-0.003683266,-0.001498011
177,0,-0.0004490657,-15.20947,-0.002254956
178,0,-0.0006106235,-19.00502,-0.002356564
179,0,-0.0008752897,-3.807049,-0.00204328
180,0,-0.0006874341,-15.20118,-0.001936426
181,0,-0.0004331893,-22.79935,-0.002494276
182,0,-0.0005820057,-26.59728,-0.001994668
183,0,-0.0004722876,-7.605055,-0.001661594
184,0,0,-22.80038,-0.001713048
185,0,-0.0004507317,-11.40224,-0.002015284
