Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.003526128,0,-221.1333,-136.0218
2,-0.002835088,-0.002835088,-7.630995,-0.0118424
3,-0.002763699,-0.002763699,-0.01946996,-0.005515645
4,-0.00224868,-0.00224868,-0.01778034,-0.005102318
5,-0.00224868,-0.00284445,-0.02602079,-0.00741009
6,-0.00224868,-0.002809831,-0.01828008,-0.005222526
7,-0.00224868,-0.002809386,-0.02136495,-0.006173984
8,-0.00224868,-0.002793026,-0.0249459,-0.005451226
9,-0.00224868,-0.002807372,-3.831377,-0.008540071
10,-0.001778741,-0.001778741,-3.826318,-0.005509126
11,-0.001778741,-0.002588202,-3.823462,-0.005512468
12,-0.001778741,-0.002804765,-3.82412,-0.007127614
13,-0.001778741,-0.002171921,-0.03108353,-0.0115218
14,-0.001778741,-0.002758146,-41.81924,-0.006364636
15,-0.001424874,-0.001424874,-0.02740531,-0.006150856
16,-0.001129646,-0.001129646,-7.625988,-0.006115768
17,-0.001129646,-0.002752824,-0.03232906,-0.008725658
18,-0.001129646,-0.002798311,-11.42673,-0.005943994
19,-0.001129646,-0.002203402,-7.643254,-0.02217383
20,-0.001129646,-0.002195156,-0.03120558,-0.006752058
21,-0.001129646,-0.002325057,-3.822702,-0.006034131
22,-0.000721008,-0.000721008,-0.04843479,-0.01663669
23,-0.000721008,-0.002241652,-15.24049,-0.009685556
24,-0.000721008,-0.0007298919,-38.02587,-0.007525511
25,-0.0006237575,-0.0006237575,-72.22971,-0.02110896
26,-0.0006237575,-0.002218877,-19.0375,-0.01171066
27,-0.0006237575,-0.0009644044,-34.23723,-0.007941914
28,-0.0006237575,-0.001080579,-7.640769,-0.01031323
29,-0.0006237575,-0.001858892,-11.46775,-0.01002844
30,-0.0006237575,-0.002305654,-7.831618,-0.03264292
31,-0.0006237575,-0.002298227,-49.49543,-0.02365225
32,-0.0006237575,-0.00127582,-95.16817,-0.06096541
33,-0.0006237575,-0.001521431,-117.8346,-5.469869
34,-0.0006237575,-0.0008678423,-53.23821,-0.008062223
35,-0.0006237575,-0.002276624,-57.048,-0.01537823
36,-0.0006237575,-0.001842136,-68.44717,-0.02137528
37,-0.0006237575,-0.001817637,-68.42735,-0.02059356
38,-0.0006237575,-0.001804183,-79.86533,-0.02862065
39,-0.0006237575,-0.001088691,-68.42795,-0.01642535
40,-0.0006237575,-0.001870095,-34.226,-0.008152302
41,-0.0006237575,-0.001250349,-30.41997,-0.006421884
42,-0.0006237575,-0.001751799,-34.22893,-0.006033331
43,-0.0006237575,-0.001249462,-7.622858,-0.005323857
44,-0.0006237575,-0.001105973,-15.22457,-0.005133537
45,-0.0006237575,-0.001442638,-45.61328,-0.00569867
46,-0.0006237575,-0.0011056,-34.22532,-0.005243219
47,-0.0006237575,-0.001081997,-0.01266419,-0.003567963
48,-0.0006237575,-0.001130903,-34.20691,-0.00450456
49,-0.0006237575,-0.001144024,-45.60888,-0.00529718
50,-0.0006237575,-0.001139182,-34.20865,-0.004351723
51,-0.0006237575,-0.001503521,-68.41006,-0.007654394
52,-0.0006237575,-0.001245343,-72.22193,-0.01255051
53,-0.0006237575,-0.001075691,-30.42312,-0.005676568
54,-0.0006237575,-0.001086288,-7.618258,-0.009277527
55,-0.0006237575,-0.001134428,-0.0208765,-0.007785577
56,-0.0006237575,-0.001132203,-0.0167181,-0.004856803
57,-0.0006237575,-0.001463306,-0.01716325,-0.004926908
58,-0.0006237575,-0.001424291,-0.01976561,-0.006859494
59,-0.0006237575,-0.001254647,-0.01537662,-0.004260688
60,-0.0006237575,-0.001085602,-15.21,-0.004303959
61,-0.0006237575,-0.001124987,-15.21224,-0.004575334
62,-0.0006237575,-0.001440473,-15.23013,-0.008053097
63,-0.0006237575,-0.001067749,-15.31755,-0.008643565
64,-0.0006237575,-0.00108346,-19.02135,-0.006526234
65,-0.0006237575,-0.001410541,-7.6282,-0.005412311
66,-0.0006237575,-0.00109056,-57.03993,-0.007518303
67,-0.0006237575,-0.001085015,-41.82666,-0.005544161
68,-0.0006237575,-0.001093898,-53.21278,-0.009709815
69,-0.0006237575,-0.001522879,-30.55571,-0.01025011
70,-0.0006237575,-0.001089972,-3.824059,-0.008157151
71,-0.0006237575,-0.001089733,-76.03796,-0.007245455
72,-0.0006237575,-0.001084001,-64.61049,-0.008396083
73,-0.0006237575,-0.001850693,-53.25666,-0.006855534
74,-0.0006237575,-0.001093403,-26.61168,-0.004842861
75,-0.0006237575,-0.001146973,-60.81098,-0.005078755
76,-0.0006237575,-0.001086783,-102.617,-0.01608225
77,-0.0006237575,-0.001256618,-34.21469,-0.004630834
78,-0.0006237575,-0.001136955,-49.41322,-0.005514756
79,-0.0006237575,-0.001130301,-49.43038,-0.008575954
80,-0.0006237575,-0.001091219,-53.24421,-0.005184107
81,-0.0006237575,-0.001086617,-57.01083,-0.004289724
82,-0.0006237575,-0.001088779,-56.99831,-0.004326744
83,-0.0006237575,-0.001089216,-87.40395,-0.005539018
84,-0.0006237575,-0.001114915,-34.26858,-0.004215554
85,-0.0006237575,-0.00179426,-45.6095,-0.005651701
86,-0.0006237575,-0.001121779,-22.81071,-0.003573738
87,-0.0006237575,-0.001144945,-7.60457,-0.00418603
88,-0.0006237575,-0.001149025,-3.838986,-0.0036919
89,-0.0006237575,-0.001132071,-22.92414,-0.005028672
90,-0.0006237575,-0.001538419,-45.78995,-0.01335452
91,-0.0006237575,-0.001118441,-11.6185,-0.004172353
92,-0.0006237575,-0.001133083,-3.852888,-0.003726589
93,-0.0006237575,-0.001245437,-7.614747,-0.004900086
94,-0.0006237575,-0.0007268543,-0.04770897,-0.004024195
95,-0.0006222812,-0.0006222812,-0.01417468,-0.003507541
96,-0.0006222812,-0.0006700322,-0.01358202,-0.003975662
97,-0.0006222812,-0.00111672,-3.812765,-0.005552747
98,-0.0006222812,-0.001239357,-11.41716,-0.004745358
99,-0.0006222812,-0.0006258115,-26.62658,-0.004430444
100,-0.0006222812,-0.001085606,-53.22968,-0.005199941
101,-0.0006222812,-0.001086514,-79.80481,-0.006755525
102,-0.0006222812,-0.0007272733,-38.02289,-0.003699885
103,-0.0006222812,-0.00072079,-49.4198,-0.004737124
104,-0.0006222812,-0.0006243924,-26.60683,-0.006137316
105,-0.0006222812,-0.0007292544,-30.41817,-0.004128439
106,-0.0006222812,-0.001134763,-15.2141,-0.003218685
107,-0.0005299724,-0.0005299724,-41.81213,-0.003477616
108,0,0,-22.8063,-0.002935906
109,0,-0.0006232612,-34.21009,-0.003914102
110,0,-0.0006711238,-53.20089,-0.006198058
111,0,-0.0005543071,-34.20098,-0.003457506
112,0,-0.0007297855,-38.01315,-0.004302964
113,0,-0.0006235092,-83.61911,-0.004508414
114,0,-0.0006256987,-49.40102,-0.003634586
115,0,-0.0007268468,-72.196,-0.00812634
116,0,-0.0009858791,-57.021,-0.004145416
117,0,-0.0007249219,-60.79882,-0.006026575
118,0,-0.0007291239,-76.02145,-0.008775349
119,0,0,-41.80373,-0.003341646
120,0,-0.0006411413,-22.81333,-0.003358847
121,0,-0.0005931405,-26.61653,-0.004263791
122,0,-0.0006726011,-15.26304,-0.003864678
123,0,-0.001158901,-15.21484,-0.003720078
124,0,-0.0006709408,-15.20771,-0.004058273
125,0,-0.0007322165,-11.41786,-0.005636365
126,0,-0.0006370588,-15.20773,-0.003915318
