Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.003065966,0,-207.066,-126.7359
2,-0.002273902,-0.002273902,-17.52233,-0.0179655
3,-0.001240526,-0.001240526,-27.88222,-0.006418617
4,-0.001240526,-0.001515313,-31.42534,-0.005639929
5,-0.0009793515,-0.0009793515,-42.90894,-0.005027466
6,-0.0009793515,-0.001238824,-27.89071,-0.005863739
7,-0.0008618233,-0.0008618233,-27.87547,-0.00503205
8,-0.0008618233,-0.001121248,-44.33392,-0.005532694
9,-0.0008618233,-0.001087295,-44.3359,-0.005162399
10,-0.0008618233,-0.001104399,-26.37107,-0.005606444
11,-0.0008618233,-0.00108772,-83.57824,-0.006396781
12,-0.0008618233,-0.001082818,-57.00152,-0.006032309
13,-0.0008618233,-0.001086654,-45.35197,-0.004922976
14,-0.0006179644,-0.0006179644,-31.42874,-0.004695653
15,-0.0006179644,-0.001077643,-19.01923,-0.004807569
16,-0.0006179644,-0.0009564724,-15.20661,-0.004518454
17,0,0,-32.68585,-0.005074763
18,0,-0.001089336,-37.94959,-0.00572835
19,0,-0.0005589341,-39.28304,-0.00580713
20,0,-0.001084771,-45.60239,-0.005850996
21,0,-0.0007362693,-16.48961,-0.005213476
22,0,-0.0006602761,-16.52377,-0.00457889
23,0,0,-6.110316,-0.004974726
24,0,-0.0008638632,-8.878502,-0.004905298
25,0,-0.0006228599,-6.356853,-0.004656584
26,0,-0.0008617849,-8.883797,-0.004863248
27,0,-0.0004510707,-11.42242,-0.005033158
28,0,-0.0004489474,-20.30241,-0.006272389
29,0,-0.0004499881,-25.36921,-0.005716697
30,0,0,-18.54872,-0.004216311
31,0,0,-11.42229,-0.005273446
32,0,-0.0004506946,-14.98557,-0.004836318
33,0,-0.0005294907,-26.61513,-0.007400416
34,0,-0.0004498736,-32.45922,-0.006441922
35,0,-0.0004139291,-33.01352,-0.004274831
36,0,-0.0005676067,-27.42764,-0.01049847
37,0,-0.0004479085,-11.50428,-0.004207642
38,0,0,-43.09516,-0.006326435
39,0,-0.0004484696,-21.56705,-0.004663834
40,0,0,-25.36168,-0.004107094
41,0,-0.000448351,-24.15215,-0.00788166
42,0,0,-31.53907,-0.00392363
43,0,0,-31.47914,-0.004199921
44,0,0,-24.03475,-0.003725248
45,0,-0.0004456231,-41.60153,-0.004120394
46,0,0,-26.3856,-0.004816277
47,0,-0.0004284306,-30.40679,-0.004108546
48,0,0,-21.55509,-0.004091523
49,0,0,-34.20435,-0.005711269
50,0,0,-53.20282,-0.009404537
51,0,0,-20.46284,-0.004858243
52,0,0,-52.48965,-0.008450609
53,0,0,-46.88098,-0.004151527
54,0,-0.0004486263,-48.16001,-0.006793564
55,0,0,-36.50423,-0.004894719
56,0,0,-40.53641,-0.005176536
57,0,0,-46.87372,-0.00635734
58,0,0,-24.08689,-0.003713632
59,0,-0.0004471784,-22.5777,-0.003573244
60,0,0,-22.82819,-0.004058134
61,0,0,-11.44355,-0.003224333
62,0,0,-21.54196,-0.00330214
63,0,0,-21.65893,-0.003765139
64,0,-0.0004490424,-43.86208,-0.004313095
65,0,0,-37.77473,-0.003358907
66,0,0,-25.37596,-0.004099873
67,0,-0.0004966893,-17.51397,-0.003667739
68,0,0,-39.3666,-0.005782557
69,0,0,-24.10009,-0.005235445
70,0,-0.0004479954,-13.97902,-0.004015749
71,0,0,-6.103058,-0.002946396
72,0,0,-14.98647,-0.003480337
73,0,-0.000448265,-5.087206,-0.002456783
74,0,0,-10.15133,-0.002722798
75,0,0,-21.30516,-0.002761247
76,0,0,-15.22204,-0.003009289
77,0,0,-6.368559,-0.003275165
78,0,0,-1.281954,-0.00258292
79,0,0,-1.378913,-0.002715369
80,0,0,-7.616747,-0.002671772
81,0,-0.0006327751,-1.295546,-0.003022312
82,0,0,-0.02227534,-0.002761725
83,0,0,-0.02022996,-0.002998173
84,0,0,-1.292193,-0.002987821
85,0,0,-7.626724,-0.002441877
86,0,0,-0.0213046,-0.002633631
87,0,0,-1.293863,-0.002869744
88,0,0,-1.289391,-0.002429947
89,0,0,-0.02202915,-0.002310126
90,0,0,-1.288127,-0.002612606
91,0,0,-3.8313,-0.002651551
92,0,0,-2.556434,-0.002429434
93,0,0,-3.870669,-0.002796885
94,0,-0.0004146187,-6.371799,-0.003457578
95,0,-0.000412589,-12.4639,-0.003877168
96,0,0,-7.704515,-0.002754416
97,0,0,-8.929102,-0.004192466
98,0,0,-22.65679,-0.003700163
99,0,0,-22.87218,-0.004187233
100,0,0,-31.70452,-0.003867205
101,0,0,-7.661878,-0.004303178
102,0,0,-5.146894,-0.00186616
103,0,0,-1.287905,-0.002034847
104,0,0,-1.275582,-0.001824102
105,0,0,-1.292277,-0.00207934
106,0,0,-0.01006165,-0.001799346
107,0,0,-0.4047977,-0.001974069
108,0,0,-0.02593449,-0.002095653
109,0,0,-0.0173778,-0.001855756
110,0,0,-0.01219917,-0.00246927
111,0,0,-6.358315,-0.001831115
112,0,0,-2.560956,-0.001915644
113,0,0,-0.02006136,-0.002312957
114,0,0,-1.295136,-0.002485304
115,0,0,-5.09121,-0.002269982
116,0,0,-5.091279,-0.001855211
117,0,0,-2.5606,-0.001841656
118,0,0,-0.02121557,-0.00180154
119,0,0,-0.01209502,-0.001761313
120,0,0,-1.042766,-0.001713837
121,0,0,-1.739539,-0.002035573
122,0,0,-0.01050179,-0.001760736
