Generation,BestRecord,GenBestRecord,Average,EliteAvg
1,-0.004685569,0,-209.5675,-130.2914
2,-0.001003929,-0.001003929,-22.82395,-0.009734116
3,-0.0004527083,-0.0004527083,-17.76583,-0.01026569
4,-0.0004114127,-0.0004114127,-6.358044,-0.008257474
5,-0.0004114127,-0.0004321796,-15.22254,-0.009124403
6,0,0,-0.02844837,-0.00760563
7,0,0,-2.557336,-0.006169257
8,0,-0.0004321845,-2.550769,-0.003555257
9,0,0,-3.820723,-0.003892738
10,0,0,-6.357667,-0.003032713
11,0,0,-3.844689,-0.002569271
12,0,0,-3.815086,-0.002817736
13,0,0,-13.95009,-0.002803093
14,0,0,-12.6942,-0.00353001
15,0,0,-1.289304,-0.00296104
16,0,0,-5.091784,-0.003422217
17,0,0,-12.68909,-0.003488432
18,0,-0.0004322015,-7.620974,-0.003810733
19,0,-0.0004312753,-2.559854,-0.004148732
20,0,0,-2.557245,-0.003394461
21,0,-0.0004487853,-5.084622,-0.003159707
22,0,0,-7.620178,-0.002946519
23,0,0,-0.01625374,-0.00273116
24,0,0,-3.815264,-0.00291475
25,0,0,-1.284925,-0.002837965
26,0,0,-0.0197059,-0.00299428
27,0,0,-1.282468,-0.002673449
28,0,0,-1.283536,-0.002531984
29,0,0,-5.092605,-0.003495709
30,0,-0.00043117,-1.282578,-0.002455748
31,0,-0.000433343,-0.04637258,-0.002844818
32,0,0,-2.548308,-0.002582946
33,0,0,-0.02073267,-0.002397917
34,0,0,-1.280747,-0.002192222
35,0,-0.0004327692,-1.28789,-0.002768822
36,0,-0.0004465983,-1.285811,-0.002930674
37,0,0,-1.296016,-0.002988025
38,0,0,-1.284284,-0.00312455
39,0,0,-5.082168,-0.002591806
40,0,0,-3.814565,-0.003122992
41,0,0,-2.551998,-0.003173937
42,0,0,-2.550848,-0.00288922
43,0,0,-2.547371,-0.002305175
44,0,0,-2.548076,-0.002933922
45,0,-0.0004479503,-2.564888,-0.003098127
46,0,-0.0004319403,-2.553341,-0.003134078
47,0,-0.0004129769,-5.090968,-0.004171836
48,0,-0.0004491584,-3.831065,-0.008740872
49,0,0,-7.624005,-0.00416915
50,0,0,-6.359203,-0.00567626
51,0,0,-5.0947,-0.004501874
52,0,0,-3.82087,-0.00353962
53,0,0,-2.554663,-0.003331409
54,0,0,-3.824398,-0.003260603
55,0,0,-5.090662,-0.004047007
56,0,0,-1.322414,-0.00503143
57,0,0,-2.564618,-0.006652134
58,0,0,-2.559263,-0.004026516
59,0,0,-5.086905,-0.003239698
60,0,0,-1.285722,-0.002432726
61,0,0,-5.089088,-0.003069271
62,0,0,-6.362894,-0.004748264
63,0,0,-5.088755,-0.003205281
64,0,0,-1.297294,-0.005357661
65,0,-0.0004139991,-0.02561327,-0.003185456
66,0,0,-2.557943,-0.003311607
67,0,0,-0.03099026,-0.003511267
68,0,0,-2.557544,-0.003186525
69,0,0,-3.822741,-0.003109724
70,0,0,-0.02415947,-0.003079939
71,0,0,-5.086293,-0.003016128
72,0,0,-5.086622,-0.002866728
73,0,0,-3.816421,-0.002545657
74,0,0,-1.28567,-0.002900222
75,0,-0.0004317779,-1.284962,-0.003013448
76,0,0,-3.824207,-0.003443788
77,0,0,-8.880178,-0.003181375
78,0,0,-0.02187965,-0.002882513
79,0,0,-1.285644,-0.002689934
80,0,0,-2.545939,-0.002319938
81,0,-0.0004466587,-5.082057,-0.002711489
82,0,0,-6.347047,-0.002523543
83,0,0,-6.349458,-0.003258012
84,0,0,-5.080268,-0.002739265
85,0,-0.0004145281,-5.079577,-0.002926053
86,0,0,-7.613888,-0.002497833
87,0,0,-6.34844,-0.002790046
88,0,0,-5.084008,-0.002511111
89,0,0,-7.611847,-0.00265611
90,0,0,-5.084887,-0.003233623
91,0,0,-5.080063,-0.002779258
92,0,0,-1.282252,-0.002781059
93,0,0,-6.346087,-0.002557361
94,0,0,-2.55822,-0.002886289
95,0,0,-17.75998,-0.002485387
96,0,-0.0004480451,-24.0766,-0.002640481
97,0,0,-20.32523,-0.002294737
98,0,-0.0003806287,-13.94311,-0.002385056
99,0,0,-11.40896,-0.002299582
100,0,-0.0004140594,-7.613585,-0.002432599
101,0,-0.0004484368,-19.01392,-0.002845793
102,0,0,-0.006929116,-0.001657117
103,0,-0.0004147101,-3.806256,-0.001684592
104,0,0,-6.336895,-0.001427617
105,0,0,-3.805893,-0.001810631
106,0,0,-7.606005,-0.001713599
107,0,0,-6.341713,-0.001916193
108,0,0,-6.34063,-0.001421297
109,0,0,-6.340612,-0.001423996
110,0,0,-2.541809,-0.001561873
111,0,0,-1.276766,-0.001565642
112,0,0,-1.27512,-0.001529528
113,0,0,-1.273074,-0.00138728
114,0,-0.0004310983,-1.272596,-0.001276997
115,0,-0.0004141005,-2.541957,-0.001526614
116,0,0,-5.105593,-0.001530541
117,0,0,-8.87295,-0.001667841
118,0,0,-6.340255,-0.001313585
